vendorName,taxCategory,referenceNumber,reconciled,notes,ledgerDescription,id,entryType,debitAmount,date,creditAmount,checkNumber,balance,amount,accountName,accountCode,iosSymbol,emoji
Compost Collective,Sales Tax,REF-9274,True,Someone painted the barn plaid again.,Sale at Saturday farmer's market,80925,Tax,0.0,2023-10-01 22:44:00,758.1,CHK-2999,1446.78,758.1,Wages Payable,2100,externaldrive,🌱
Compost Collective,Use Tax,REF-3779,False,Paid in kale chips and weird looks.,Utility payment: irrigation pump,14635,Payment,588.11,2023-10-01 13:05:00,0.0,CHK-8232,4422.78,588.11,Fuel,5300,tray,💼
Johnny's Seeds,No Tax,REF-4061,True,Billy the Mountain requested cash.,Weekly payroll distribution,14509,Tax,0.0,2023-10-05 18:22:00,1158.26,,3239.61,1158.26,Sales - Value-Added Goods,4100,folder,🐔
Tractor Depot,No Tax,REF-7752,True,Paid in kale chips and weird looks.,Tractor repair service,85802,Expense,845.93,2023-10-05 11:41:00,0.0,CHK-8440,2124.72,845.93,Depreciation,6000,calendar,🛠
USDA,No Tax,REF-5689,True,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,27997,Payment,26.98,2023-10-05 04:10:00,0.0,CHK-4338,4350.51,26.98,Owner's Equity,3000,tray,🏡
Muffin Utility Inc.,No Tax,REF-7482,False,Someone painted the barn plaid again.,Sale at Saturday farmer's market,65483,Equity Contribution,307.53,2023-10-03 17:18:00,0.0,CHK-5694,2670.12,307.53,Owner's Equity,3000,tray,🏡
Compost Collective,Use Tax,REF-3735,True,Beware of the Central Scrutinizer.,Purchase of heirloom tomato seeds,60559,Expense,49.24,2023-10-02 23:33:00,0.0,,4488.64,49.24,Wages Payable,2100,externaldrive,🌱
Farm Co-op,Use Tax,REF-4241,False,Someone painted the barn plaid again.,Sale at Saturday farmer's market,59411,Payment,258.4,2023-10-05 18:39:00,0.0,,3345.89,258.4,Wages Payable,2100,externaldrive,🌱
Farm Co-op,No Tax,REF-6067,False,Someone painted the barn plaid again.,Sale at Saturday farmer's market,62607,Equity Contribution,380.69,2023-10-04 10:15:00,0.0,CHK-7676,4818.53,380.69,Depreciation,6000,calendar,🛠
Johnny's Seeds,Use Tax,REF-1375,True,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,40508,Expense,1144.68,2023-10-01 18:00:00,0.0,,4709.51,1144.68,Insurance,5900,wrench,🧾
Farm Co-op,No Tax,REF-8985,True,Beware of the Central Scrutinizer.,Sale at Saturday farmer's market,37478,Payment,92.97,2023-10-06 17:48:00,0.0,CHK-2478,4904.21,92.97,Cost of Goods Sold,5000,externaldrive,📦
Zappa Solar,Sales Tax,REF-5197,True,Beware of the Central Scrutinizer.,Tractor repair service,21133,Tax,0.0,2023-10-02 19:54:00,1394.55,,4392.09,1394.55,Owner's Equity,3000,tray,🏡
Compost Collective,No Tax,REF-9210,False,Billy the Mountain requested cash.,Utility payment: irrigation pump,81249,Payroll,1047.03,2023-10-07 12:50:00,0.0,,4855.0,1047.03,Owner's Equity,3000,tray,🏡
Tractor Depot,Sales Tax,REF-7102,True,Beware of the Central Scrutinizer.,Utility payment: irrigation pump,72255,Payment,1231.43,2023-10-03 18:59:00,0.0,,1857.16,1231.43,Depreciation,6000,calendar,🛠
Tractor Depot,Use Tax,REF-6744,True,Beware of the Central Scrutinizer.,Purchase of heirloom tomato seeds,74257,Expense,1225.8,2023-10-07 04:01:00,0.0,CHK-2939,3398.82,1225.8,Insurance,5900,wrench,🧾
Johnny's Seeds,No Tax,REF-3880,False,Billy the Mountain requested cash.,Weekly payroll distribution,94660,Invoice,0.0,2023-10-06 18:05:00,117.18,,4432.11,117.18,Depreciation,6000,calendar,🛠
Tractor Depot,No Tax,REF-8720,False,Beware of the Central Scrutinizer.,Purchase of heirloom tomato seeds,48970,Tax,0.0,2023-10-05 11:13:00,178.92,CHK-7175,1954.08,178.92,Owner's Equity,3000,tray,🏡
Zappa Solar,Use Tax,REF-9719,True,Someone painted the barn plaid again.,Sale at Saturday farmer's market,63505,Tax,0.0,2023-10-06 01:56:00,475.96,CHK-4065,1363.05,475.96,Cost of Goods Sold,5000,externaldrive,📦
Tractor Depot,Sales Tax,REF-4440,True,Paid in kale chips and weird looks.,Tractor repair service,33947,Payroll,1010.54,2023-10-06 11:46:00,0.0,,4014.18,1010.54,Cost of Goods Sold,5000,externaldrive,📦
Zappa Solar,Use Tax,REF-8846,False,Someone painted the barn plaid again.,Weekly payroll distribution,31596,Expense,434.49,2023-10-05 18:25:00,0.0,,3392.23,434.49,Depreciation,6000,calendar,🛠
Johnny's Seeds,Use Tax,REF-6751,True,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,11924,Expense,398.3,2023-10-05 13:29:00,0.0,CHK-2957,1524.52,398.3,Sales - Value-Added Goods,4100,folder,🐔
Muffin Utility Inc.,No Tax,REF-8994,True,Beware of the Central Scrutinizer.,Purchase of heirloom tomato seeds,61156,Tax,0.0,2023-10-02 05:20:00,720.01,CHK-5554,1286.05,720.01,Owner's Equity,3000,tray,🏡
USDA,Sales Tax,REF-7121,True,Beware of the Central Scrutinizer.,Purchase of heirloom tomato seeds,76837,Payment,1147.32,2023-10-01 09:01:00,0.0,,2536.87,1147.32,Fuel,5300,tray,💼
Compost Collective,No Tax,REF-3261,True,Paid in kale chips and weird looks.,Weekly payroll distribution,27322,Expense,1140.22,2023-10-05 21:19:00,0.0,,3527.03,1140.22,Sales - Value-Added Goods,4100,folder,🐔
USDA,Sales Tax,REF-6204,True,Paid in kale chips and weird looks.,Utility payment: irrigation pump,25064,Expense,306.7,2023-10-04 02:15:00,0.0,,1386.2,306.7,Taxes Payable,2200,hammer,🐝
Compost Collective,No Tax,REF-7176,True,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,82812,Payment,385.01,2023-10-07 05:11:00,0.0,CHK-2276,1713.75,385.01,Depreciation,6000,calendar,🛠
Muffin Utility Inc.,Sales Tax,REF-2116,False,Billy the Mountain requested cash.,Tractor repair service,83404,Payroll,1128.69,2023-10-07 08:52:00,0.0,CHK-1321,1773.54,1128.69,Insurance,5900,wrench,🧾
Farm Co-op,Sales Tax,REF-4579,True,Billy the Mountain requested cash.,Tractor repair service,43043,Invoice,0.0,2023-10-07 13:31:00,1020.0,,4610.45,1020.0,Cost of Goods Sold,5000,externaldrive,📦
USDA,No Tax,REF-4312,False,Billy the Mountain requested cash.,Tractor repair service,28122,Tax,0.0,2023-10-05 12:10:00,1320.69,,2857.85,1320.69,Sales - Value-Added Goods,4100,folder,🐔
Muffin Utility Inc.,Sales Tax,REF-7120,False,Billy the Mountain requested cash.,Sale at Saturday farmer's market,20306,Expense,1491.95,2023-10-02 05:21:00,0.0,,1682.93,1491.95,Insurance,5900,wrench,🧾
Zappa Solar,Use Tax,REF-8860,True,Billy the Mountain requested cash.,Utility payment: irrigation pump,26737,Payment,677.16,2023-10-03 07:07:00,0.0,,4798.15,677.16,Sales - Value-Added Goods,4100,folder,🐔
Compost Collective,Use Tax,REF-4795,True,Someone painted the barn plaid again.,Utility payment: irrigation pump,38491,Equity Contribution,733.48,2023-10-03 06:03:00,0.0,CHK-3677,1741.23,733.48,Sales - Value-Added Goods,4100,folder,🐔
