Amendments,Approved CommonName,BestHarvest,BestPlantingDates,ColorRGB,CommonName,Cultivar,Description,Emoji,Family,FruitName,Genus,GreenhouseInstructions,GrowingAdvice,GrowingDays,Harvest,OptimalZones,Pests,Ripeness,SoilConditions,SoilInfo,TransplantAge,USDAZoneList,WeatherTolerance,ioscolor
Compost at bed prep; side‑dress nitrogen lightly midseason.,All Red Leaf (Amaranth),"{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}","200,30,30",All Red Leaf Amaranth,All Red Leaf,Leaf/grain amaranth cultivar used for greens or seed.,🥬,Amaranthaceae,Amaranth,Amaranthus,Start 2–4 weeks early for transplants if season is short; harden off before planting.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,84-140,"Harvest young leaves for greens; for grain, cut seedheads at maturity and dry.","3,4,5,6,7,8,9,10","Flea beetles, aphids; birds on seedheads.","Greens: tender, young leaves with vibrant color. Grain: panicles dry and seed rubs free; finish drying before threshing. Amaranth greens: harvest baby leaves 3–5 weeks for tenderness; avoid mature stems for greens. For grain types, cut panicles at maturity and dry before threshing.",Drain Water,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.",,"[3, 4, 5, 6, 7, 8, 9, 10]","Hot,Drought,Dry,Tropical",AmaranthRedAllredleaf2003030
Compost at bed prep; side‑dress nitrogen lightly midseason.,Burgundy (Amaranth),"{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}","120,20,40",Burgundy Amaranth,Burgundy,Leaf/grain amaranth cultivar used for greens or seed.,🥬,Amaranthaceae,Amaranth,Amaranthus,Start 2–4 weeks early for transplants if season is short; harden off before planting.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,84-140,"Harvest young leaves for greens; for grain, cut seedheads at maturity and dry.","3,4,5,6,7,8,9,10","Flea beetles, aphids; birds on seedheads.","Greens: tender, young leaves with vibrant color. Grain: panicles dry and seed rubs free; finish drying before threshing. Amaranth greens: harvest baby leaves 3–5 weeks for tenderness; avoid mature stems for greens. For grain types, cut panicles at maturity and dry before threshing.",Drain Water,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.",,"[3, 4, 5, 6, 7, 8, 9, 10]","Hot,Drought,Dry,Tropical",AmaranthBurgundy1202040
Compost at bed prep; side‑dress nitrogen lightly midseason.,Callaloo Amaranth,"{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}","120,170,90",Callaloo Amaranth Amaranth,Callaloo Amaranth,Leaf/grain amaranth cultivar used for greens or seed.,🥬,Amaranthaceae,Amaranth,Amaranthus,Start 2–4 weeks early for transplants if season is short; harden off before planting.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,84-140,"Harvest young leaves for greens; for grain, cut seedheads at maturity and dry.","3,4,5,6,7,8,9,10","Flea beetles, aphids; birds on seedheads.","Greens: tender, young leaves with vibrant color. Grain: panicles dry and seed rubs free; finish drying before threshing.",Drain Water,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.",,"[3, 4, 5, 6, 7, 8, 9, 10]","Hot,Drought,Dry,Tropical",AmaranthCallalooamaranth12017090
Compost at bed prep; side‑dress nitrogen lightly midseason.,Chinese Giant Orange (Amaranth),"{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}","240,130,40",Chinese Giant Orange Amaranth,Chinese Giant Orange,Leaf/grain amaranth cultivar used for greens or seed.,🥬,Amaranthaceae,Amaranth,Amaranthus,Start 2–4 weeks early for transplants if season is short; harden off before planting.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,84-140,"Harvest young leaves for greens; for grain, cut seedheads at maturity and dry.","3,4,5,6,7,8,9,10","Flea beetles, aphids; birds on seedheads.","Greens: tender, young leaves with vibrant color. Grain: panicles dry and seed rubs free; finish drying before threshing. Amaranth greens: harvest baby leaves 3–5 weeks for tenderness; avoid mature stems for greens. For grain types, cut panicles at maturity and dry before threshing.",Drain Water,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.",,"[3, 4, 5, 6, 7, 8, 9, 10]","Hot,Drought,Dry,Tropical",AmaranthOrangeChinesegiantorange24013040
Compost at bed prep; side‑dress nitrogen lightly midseason.,Chinese Multicolor Spinach (Amaranth),"{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}","60,120,70",Chinese Multicolor Spinach Spinach,Chinese Multicolor Spinach,Leaf/grain amaranth cultivar used for greens or seed.,🥬,Amaranthaceae,Spinach,Amaranthus,Start 2–4 weeks early for transplants if season is short; harden off before planting.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,84-140,Cut outer leaves continuously or whole rosettes before bolting.,"3,4,5,6,7,8,9,10","Flea beetles, aphids; birds on seedheads.","Leaves thick, turgid, deep green; petioles crisp. Harvest before elongation of central stem (bolting). Amaranth greens: harvest baby leaves 3–5 weeks for tenderness; avoid mature stems for greens. For grain types, cut panicles at maturity and dry before threshing.",Drain Water,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.",,"[3, 4, 5, 6, 7, 8, 9, 10]","Hot,Drought,Dry,Tropical",SpinachChinesemulticolorspinach6012070
Compost at bed prep; side‑dress nitrogen lightly midseason.,Golden Giant (Amaranth),"{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}","235,190,70",Golden Giant Beet,Golden Giant,Leaf/grain amaranth cultivar used for greens or seed.,🫐,Amaranthaceae,Beet,Amaranthus,Start 2–4 weeks early for transplants if season is short; harden off before planting.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,84-140,"Harvest roots at 1.5–3""; tops edible anytime; avoid oversized woody roots.","3,4,5,6,7,8,9,10","Flea beetles, aphids; birds on seedheads.","Roots smooth, deep color; 4–8 cm diameter for tenderness. Larger roots may be woody/fibrous; tops edible anytime. Amaranth greens: harvest baby leaves 3–5 weeks for tenderness; avoid mature stems for greens. For grain types, cut panicles at maturity and dry before threshing.",Drain Water,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.",,"[3, 4, 5, 6, 7, 8, 9, 10]","Hot,Drought,Dry,Tropical",AmaranthGoldenGoldengiant23519070
Compost at bed prep; side‑dress nitrogen lightly midseason.,Green Callaloo (Amaranth),"{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}","90,160,90",Green Callaloo Amaranth,Green Callaloo,Leaf/grain amaranth cultivar used for greens or seed.,🥬,Amaranthaceae,Amaranth,Amaranthus,Start 2–4 weeks early for transplants if season is short; harden off before planting.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,84-140,"Harvest young leaves for greens; for grain, cut seedheads at maturity and dry.","3,4,5,6,7,8,9,10","Flea beetles, aphids; birds on seedheads.","Greens: tender, young leaves with vibrant color. Grain: panicles dry and seed rubs free; finish drying before threshing. Amaranth greens: harvest baby leaves 3–5 weeks for tenderness; avoid mature stems for greens. For grain types, cut panicles at maturity and dry before threshing.",Drain Water,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.",,"[3, 4, 5, 6, 7, 8, 9, 10]","Hot,Drought,Dry,Tropical",AmaranthGreenGreencallaloo9016090
Compost at bed prep; side‑dress nitrogen lightly midseason.,Green Leaf (Amaranth),"{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}","90,160,90",Green Leaf Amaranth,Green Leaf,Leaf/grain amaranth cultivar used for greens or seed.,🥬,Amaranthaceae,Amaranth,Amaranthus,Start 2–4 weeks early for transplants if season is short; harden off before planting.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,84-140,"Harvest young leaves for greens; for grain, cut seedheads at maturity and dry.","3,4,5,6,7,8,9,10","Flea beetles, aphids; birds on seedheads.","Greens: tender, young leaves with vibrant color. Grain: panicles dry and seed rubs free; finish drying before threshing. Amaranth greens: harvest baby leaves 3–5 weeks for tenderness; avoid mature stems for greens. For grain types, cut panicles at maturity and dry before threshing.",Drain Water,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.",,"[3, 4, 5, 6, 7, 8, 9, 10]","Hot,Drought,Dry,Tropical",AmaranthGreenGreencallaloo9016090
Compost at bed prep; side‑dress nitrogen lightly midseason.,Green Leaf Callaloo (Amaranth),"{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}","90,160,90",Green Leaf Callaloo Amaranth,Green Leaf Callaloo,Leaf/grain amaranth cultivar used for greens or seed.,🥬,Amaranthaceae,Amaranth,Amaranthus,Start 2–4 weeks early for transplants if season is short; harden off before planting.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,84-140,"Harvest young leaves for greens; for grain, cut seedheads at maturity and dry.","3,4,5,6,7,8,9,10","Flea beetles, aphids; birds on seedheads.","Greens: tender, young leaves with vibrant color. Grain: panicles dry and seed rubs free; finish drying before threshing. Amaranth greens: harvest baby leaves 3–5 weeks for tenderness; avoid mature stems for greens. For grain types, cut panicles at maturity and dry before threshing.",Drain Water,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.",,"[3, 4, 5, 6, 7, 8, 9, 10]","Hot,Drought,Dry,Tropical",AmaranthGreenGreencallaloo9016090
Compost at bed prep; side‑dress nitrogen lightly midseason.,Green Tails Amaranth,"{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}","90,160,90",Green Tails Amaranth Amaranth,Green Tails Amaranth,Leaf/grain amaranth cultivar used for greens or seed.,🥬,Amaranthaceae,Amaranth,Amaranthus,Start 2–4 weeks early for transplants if season is short; harden off before planting.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,84-140,"Harvest young leaves for greens; for grain, cut seedheads at maturity and dry.","3,4,5,6,7,8,9,10","Flea beetles, aphids; birds on seedheads.","Greens: tender, young leaves with vibrant color. Grain: panicles dry and seed rubs free; finish drying before threshing. Amaranth greens: harvest baby leaves 3–5 weeks for tenderness; avoid mature stems for greens. For grain types, cut panicles at maturity and dry before threshing.",Drain Water,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.",,"[3, 4, 5, 6, 7, 8, 9, 10]","Hot,Drought,Dry,Tropical",AmaranthGreenGreencallaloo9016090
