vendorName,taxCategory,referenceNumber,reconciled,notes,ledgerDescription,id,entryType,debitAmount,date,creditAmount,checkNumber,balance,amount,accountName,accountCode,iosSymbol,emoji
Farm Co-op,No Tax,REF-2808,False,Someone painted the barn plaid again.,Equity contribution by Frank,80290,Sale,681.32,2023-07-14 12:42:00,0.0,CHK-7319,3372.12,681.32,Payroll Expenses,5500,book,📊
Tractor Depot,No Tax,REF-1261,False,Beware of the Central Scrutinizer.,Sale at Saturday farmer's market,77495,Payment,60.63,2023-07-14 11:15:00,0.0,,1188.83,60.63,Cash,1000,tray,🧾
Compost Collective,No Tax,REF-9645,True,Beware of the Central Scrutinizer.,Payment for organic compost delivery,98973,Payroll,585.11,2023-07-14 10:14:00,0.0,,1358.42,585.11,Wages Payable,2100,globe,🧑‍🌾
Johnny's Seeds,Sales Tax,REF-4444,False,Billy the Mountain requested cash.,Weekly payroll distribution,71588,Tax,0.0,2023-07-14 06:47:00,366.96,CHK-2318,3547.62,366.96,Marketing & Promotion,5700,tray,📅
Tractor Depot,No Tax,REF-4056,True,Beware of the Central Scrutinizer.,Sale at Saturday farmer's market,73566,Payroll,484.57,2023-07-14 15:26:00,0.0,CHK-6440,1380.55,484.57,Fuel,5300,wrench,🏡
Zappa Solar,Sales Tax,REF-4170,True,Paid in kale chips and weird looks.,Sale at Saturday farmer's market,83810,Equity Contribution,227.74,2023-07-14 11:05:00,0.0,,3182.0,227.74,Accounts Payable,2000,wrench,🏡
Zappa Solar,No Tax,REF-3162,False,Mic’d the compost for microbial jazz.,Equity contribution by Frank,30388,Expense,0.0,2023-07-14 15:25:00,925.91,,4689.79,925.91,Payroll Expenses,5500,wrench,🐄
Zappa Solar,No Tax,REF-8628,True,Paid in kale chips and weird looks.,Payment for organic compost delivery,80323,Payroll,768.28,2023-07-14 14:10:00,0.0,CHK-4536,4894.89,768.28,Utilities,5600,briefcase,🌽
Compost Collective,Sales Tax,REF-9976,True,Mic’d the compost for microbial jazz.,Utility payment: irrigation pump,61177,Payment,1116.41,2023-07-14 06:00:00,0.0,,4504.34,1116.41,Payroll Expenses,5500,wrench,🌽
USDA,Sales Tax,REF-1814,True,Eggplant royalty dispute resolved.,Utility payment: irrigation pump,77897,Sale,963.11,2023-07-14 18:21:00,0.0,CHK-9209,3548.66,963.11,Professional Services,5800,creditcard,🏡
Zappa Solar,No Tax,REF-2986,False,Beware of the Central Scrutinizer.,Weekly payroll distribution,94776,Sale,0.0,2023-07-14 13:53:00,765.13,,4764.78,765.13,Insurance,5900,book,🐔
Zappa Solar,Sales Tax,REF-3604,True,Eggplant royalty dispute resolved.,Tractor repair service,18628,Equity Contribution,0.0,2023-07-14 08:42:00,205.22,,2011.04,205.22,Accounts Receivable,1100,folder,🔧
Farm Co-op,No Tax,REF-9849,False,Billy the Mountain requested cash.,Payment for organic compost delivery,64598,Payment,0.0,2023-07-14 16:09:00,1077.94,CHK-7497,3141.66,1077.94,Sales - Value-Added Goods,4100,hammer,💼
USDA,Use Tax,REF-1070,True,"This ain’t the garden of Eden, man.",Equity contribution by Frank,89336,Sale,1107.24,2023-07-14 17:14:00,0.0,,2542.22,1107.24,Marketing & Promotion,5700,gear,🌽
Zappa Solar,Use Tax,REF-9115,True,Mic’d the compost for microbial jazz.,Payment for organic compost delivery,30127,Payment,697.2,2023-07-14 12:35:00,0.0,CHK-7231,1512.64,697.2,Cash,1000,bag,🌱
USDA,No Tax,REF-6624,True,Mic’d the compost for microbial jazz.,Weekly payroll distribution,67807,Sale,0.0,2023-07-14 10:39:00,402.12,CHK-1883,3867.74,402.12,Prepaid Expenses,1300,briefcase,🪣
