CommonName,Family,Genus,Cultivar,Description,GrowingAdvice,WeatherTolerance,OptimalZones,GrowingDays,TransplantAge,USDAZoneList,BestHarvest,BestPlantingDates,GreenhouseInstructions,SoilInfo,Pests,Amendments,SoilConditions,Approved CommonName,Emoji,ColorRGB
All Red Leaf (Amaranth),Amaranthaceae,Amaranthus,All Red Leaf,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,All Red Leaf (Amaranth),🥬,"200,30,30"
Burgundy (Amaranth),Amaranthaceae,Amaranthus,Burgundy,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,Burgundy (Amaranth),🥬,"120,170,90"
Callaloo Amaranth,Amaranthaceae,Amaranthus,Callaloo Amaranth,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,Callaloo Amaranth,🥬,"120,170,90"
Chinese Giant Orange (Amaranth),Amaranthaceae,Amaranthus,Chinese Giant Orange,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,Chinese Giant Orange (Amaranth),🥬,"255,140,0"
Chinese Multicolor Spinach (Amaranth),Amaranthaceae,Amaranthus,Chinese Multicolor Spinach,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,Chinese Multicolor Spinach (Amaranth),🥬,"60,120,70"
Golden Giant (Amaranth),Amaranthaceae,Amaranthus,Golden Giant,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,Golden Giant (Amaranth),🫐,"240,200,80"
Green Callaloo (Amaranth),Amaranthaceae,Amaranthus,Green Callaloo,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,Green Callaloo (Amaranth),🥬,"80,160,80"
Green Leaf (Amaranth),Amaranthaceae,Amaranthus,Green Leaf,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,Green Leaf (Amaranth),🥬,"80,160,80"
Green Leaf Callaloo (Amaranth),Amaranthaceae,Amaranthus,Green Leaf Callaloo,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,Green Leaf Callaloo (Amaranth),🥬,"80,160,80"
Green Tails Amaranth,Amaranthaceae,Amaranthus,Green Tails Amaranth,Leaf/grain amaranth cultivar used for greens or seed.,Direct sow after last frost; thin to 6–10 in; harvest baby greens 3–5 weeks.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9,10",84-140,,"[3, 4, 5, 6, 7, 8, 9, 10]","{""3"": [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45], ""4"": [32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], ""5"": [31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""6"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40], ""7"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], ""8"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], ""9"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], ""10"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start 2–4 weeks early for transplants if season is short; harden off before planting.,"Loam, well‑drained; pH 6.0–7.5; moderate fertility.","Flea beetles, aphids; birds on seedheads.",Compost at bed prep; side‑dress nitrogen lightly midseason.,Drain Water,Green Tails Amaranth,🥬,"80,160,80"
