"Symbol","Scientific Name with Author","GSAT Common Name"
"ABTH","Abutilon theophrasti Medik.","VELVETLEAF"
"ACHI","Acanthospermum hispidum DC.","VELVETLEAF"
"ACMI2","Achillea millefolium L.","Common yarrow"
"ACRU","Acer rubrum L.","RED MAPLE"
"ACSA2","Acer saccharinum L.","SILVER MAPLE"
"AESCH","Aeschynomene L.","Common yarrow"
"AGGI","Agrostemma githago L.","CORNCOCKLE"
"AGGI2","Agrostis gigantea Roth","REDTOP"
"ALVI","Allium vineale L.","WILD GARLIC"
"AMAL","Amaranthus albus L.","prostrate pigweed"
"AMAR2","Ambrosia artemisiifolia L.","annual ragweed"
"AMRE","Amaranthus retroflexus L.","redroot amaranth"
"AMSP","Amaranthus spinosus L.","SPINY AMARANTH"
"ANDRO2","Andropogon L.","bluestem"
"ANGE","Andropogon gerardii Vitman","BIG BLUESTEM"
"ANTE2","Andropogon ternarius Michx.","SPLITBEARD BLUESTEM"
"ANTET","Andropogon ternarius Michx. var. ternarius","SPLITBEARD BLUESTEM"
"ANVI2","Andropogon virginicus L.","BROOMSEDGE BLUESTEM"
"ASSY","Asclepias syriaca L.","MILKWEED"
"BOCU","Bouteloua curtipendula (Michx.) Torr.","SIDEOATS GRAMA"
"BRASS2","Brassica L.","mustard"
"BRCA6","Bromus catharticus Vahl","RESCUEGRASS"
"BRNA","Brassica napus L.","RAPE"
"BRNI","Brassica nigra (L.) W.D.J. Koch","BLACK MUSTARD"
"BROMU","Bromus L.","brome"
"BRTE","Bromus tectorum L.","CHEATGRASS"
"CAAM2","Callicarpa americana L.","AMERICAN BEAUTYBERRY"
"CABU2","Capsella bursa-pastoris (L.) Medik.","shepherd's purse"
"CACO17","Castilleja coccinea (L.) Spreng.","SCARLET INDIAN PAINTBRUSH"
"CAHA13","Cardiospermum halicacabum L.","hairy bittercress"
"CAHI3","Cardamine hirsuta L.","hairy bittercress"
"CARA2","Campsis radicans (L.) Seem. ex Bureau","trumpet creeper"
"CARDA","Cardamine L.","bittercress"
"CAREX","Carex L.","sedge"
"CASP8","Catalpa speciosa (Warder) Warder ex Engelm.","SCARLET INDIAN PAINTBRUSH"
"CECY2","Centaurea cyanus L.","sanddune sandbur"
"CEEC","Cenchrus echinatus L.","southern sandbur"
"CELO3","Cenchrus longispinus (Hack.) Fernald","mat sandbur"
"CENCH","Cenchrus L.","sandbur"
"CETR","Cenchrus tribuloides L.","sanddune sandbur"
"CHAL7","Chenopodium album L.","LAMBSQUARTERS"
"CHFAF","Chamaecrista fasciculata (Michx.) Greene var. fasciculata","PARTRIDGE PEA"
"CIHO2","Cirsium horridulum Michx.","yellow thistle"
"CIIN","Cichorium intybus L.","CHICORY"
"CIRSI","Cirsium Mill.","thistle"
"CIVU","Cirsium vulgare (Savi) Ten.","BULL THISTLE"
"CNBE","Cnicus benedictus L.","blessed thistle"
"COCA5","Conyza canadensis (L.) Cronquist","horseweed"
"COFL2","Cornus florida L.","FLOWERING DOGWOOD"
"COMME","Commelina L.","dayflower"
"CONYZ","Conyza Less.","horseweed"
"CORNU","Cornus L.","dogwood"
"CORON","Coronilla L.","crownvetch"
"CRATA","Crataegus L.","hawthorn"
"CRCA6","Croton capitatus Michx.","hawthorn"
"CRGL2","Croton glandulosus L.","TROPIC CROTON"
"CRSP2","Crotalaria spectabilis Roth","hawthorn"
"CYCO","Cyperus compressus L.","flatsedge"
"CYDA","Cynodon dactylon (L.) Pers.","Bermudagrass"
"CYES","Cyperus esculentus L.","yellow nutsedge"
"CYPER","Cyperus L.","flatsedge"
"CYRO","Cyperus rotundus L.","purple nutsedge"
"DAAE","Dactyloctenium aegyptium (L.) Willd.","crowfoot grass"
"DACA6","Daucus carota L.","Queen Anne's lace"
"DACTY","Dactylis L.","ORCHARDGRASS"
"DAGL","Dactylis glomerata L.","ORCHARDGRASS"
"DAST","Datura stramonium L.","JIMSONWEED"
"DATUR","Datura L.","JIMSONWEED"
"DESMO","Desmodium Desv.","Queen Anne's lace"
"DETO","Desmodium tortuosum (Sw.) DC.","Queen Anne's lace"
"DICO6","Digitaria cognata (Schult.) Pilg.","FALL WITCHGRASS"
"DIGIT2","Digitaria Haller","crabgrass"
"DIIS","Digitaria ischaemum (Schreb.) Schreb. ex Muhl.","SMOOTH CRABGRASS"
"DIODI","Diodia L.","buttonweed"
"DISA","Digitaria sanguinalis (L.) Scop.","large crabgrass"
"DITE2","Diodia teres Walter","poorjoe"
"DIVI3","Diodia virginiana L.","VIRGINIA BUTTONWEED"
"DIVI5","Diospyros virginiana L.","common persimmon"
"DYAM","Dysphania ambrosioides (L.) Mosyakin & Clemants","Mexican tea"
"ECCO2","Echinochloa colona (L.) Link","jungle rice"
"ECCR","Echinochloa crus-galli (L.) P. Beauv.","BARNYARDGRASS"
"ECLIP","Eclipta L.","eclipta"
"ELEUS","Eleusine Gaertn.","GOOSEGRASS"
"ELIN3","Eleusine indica (L.) Gaertn.","Indian goosegrass"
"ELVI3","Elymus virginicus L.","VIRGINIA WILDRYE"
"ERAGR","Eragrostis von Wolf","lovegrass"
"ERAN","Erigeron annuus (L.) Pers.","WEEPING LOVEGRASS"
"ERCU2","Eragrostis curvula (Schrad.) Nees","WEEPING LOVEGRASS"
"EROP","Eremochloa ophiuroides (Munro) Hack.","WEEPING LOVEGRASS"
