"Symbol","Scientific Name with Author","GSAT Common Name"
"ABAB","Abutilon abutiloides (Jacq.) Garcke ex Hochr.","shrubby Indianmallow"
"ABAN","Abronia angustifolia Greene","purple sand-verbena"
"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","white fir"
"ABIES","Abies Mill.","Abies"
"ABIN","Abutilon incanum (Link) Sweet","orange Indianmallow"
"ABIN","Abutilon incanum (Link) Sweet","Pringle Indianmallow"
"ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir"
"ABNA","Abronia nana S. Watson","dwarf sand-verbena"
"ABPA","Abutilon palmeri A. Gray","Palmer Indianmallow"
"ABPA3","Abutilon parvulum A. Gray","dwarf Indianmallow"
"ABRON","Abronia Juss.","Abronia"
"ABTH2","Abutilon thurberi A. Gray","Thurber Indianmallow"
"ABUTI","Abutilon Mill.","Abutilon"
"ABVI","Abronia villosa S. Watson","desert sand-verbena"
"ACACI","Acacia Mill.","Acacia"
"ACALY","Acalypha L.","Acalypha"
"ACAMP","Acamptopappus (A. Gray) A. Gray","Acamptopappus"
"ACAN11","Acaciella angustissima (Mill.) Britton & Rose","prairie acacia"
"ACCA3","Acalypha californica Benth.","Pringle threeseed mercury"
"ACCO4","Aconitum columbianum Nutt.","Columbian monkshood"
"ACER","Acer L.","Acer"
"ACGL","Acer glabrum Torr.","Rocky Mountain maple"
"ACGR3","Acer grandidentatum Nutt.","bigtooth maple"
"ACHIL","Achillea L.","Achillea"
"ACHNA","Achnatherum P. Beauv.","Achnatherum"
"ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","INDIAN RICEGRASS"
"ACIN2","Aconitum infectum Greene","Arizona monkshood"
"ACME7","Acalypha mexicana Müll. Arg.","Mexican copperleaf"
"ACMI2","Achillea millefolium L.","Common yarrow"
"ACNA2","Acourtia nana (A. Gray) Reveal & R.M. King","desert-holly"
"ACNE","Acalypha neomexicana Müll. Arg.","New Mexico copperleaf"
"ACNE2","Acer negundo L.","BOXELDER"
"ACONI","Aconitum L.","Aconitum"
"ACOUR","Acourtia D. Don","Acourtia"
"ACPA13","Achnatherum parishii (Vasey) Barkworth","Parish needlegrass"
"ACPE13","Achnatherum perplexum Hoge & Barkworth","New Mexico needlegrass"
"ACRE3","Acroptilon repens (L.) DC.","Russian knapweed"
"ACRO7","Achnatherum robustum (Vasey) Barkworth","sleepygrass"
"ACROP","Acroptilon Cass.","Acroptilon"
"ACSP","Acamptopappus sphaerocephalus (Harv. & A. Gray ex A. Gray) A. Gray","rayless goldenhead"
"ACSP12","Achnatherum speciosum (Trin. & Rupr.) Barkworth","desert needlegrass"
"ACWR5","Acourtia wrightii (A. Gray) Reveal & R.M. King","pink perezia"
"ADCO2","Adenophyllum cooperi (A. Gray) Strother","Cooper dogweed"
"ADENO5","Adenophyllum Pers.","Adenophyllum"
"ADPO","Adenophyllum porophylloides (A. Gray) Strother","San Felipe dogweed"
"AECY","Aegilops cylindrica Host","JOINTED GOATGRASS"
"AEGIL","Aegilops L.","Aegilops"
"AGAM","Agave americana L.","American agave"
"AGAR8","Agave ×arizonica Gentry & J.Z. Weber (pro sp.) [chrysantha × toumeyana]","Arizona agave"
"AGAST","Agastache Clayton ex Gronov.","Agastache"
"AGAU2","Agoseris aurantiaca (Hook.) Greene","orange mountain-dandelion"
"AGAVE","Agave L.","Agave"
"AGBR","Agastache breviflora (A. Gray) Epling","Trans-Pecos giant hyssop"
"AGDE","Agave deserti Engelm.","desert agave"
"AGDE2","Agropyron desertorum (Fisch. ex Link) Schult.","desert wheatgrass"
"AGERA2","Ageratina Spach","Ageratina"
"AGEX","Agrostis exarata Trin.","SPIKE BENTGRASS"
"AGGI2","Agrostis gigantea Roth","WATER BENTGRASS"
"AGGL","Agoseris glauca (Pursh) Raf.","pale mountain-dandelion"
"AGHE5","Ageratina herbacea (A. Gray) R.M. King & H. Rob.","fragrant snakeroot"
"AGID","Agrostis idahoensis Nash","Idaho bentgrass"
"AGMI","Agastache micrantha (A. Gray) Wooton & Standl.","white giant hyssop"
"AGOSE","Agoseris Raf.","Agoseris"
"AGPA","Agastache pallidiflora (A. Heller) Rydb.","Bill Williams giant hyssop"
"AGPA11","Agastache pallida (Lindl.) Cory","pale giant hyssop"
"AGPA3","Agave palmeri Engelm.","Palmer agave"
"AGPA4","Agave parryi Engelm.","Parry agave"
"AGPA5","Agave parviflora Torr.","smallflower agave"
