"Symbol","Scientific Name with Author","GSAT Common Name"
"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","white fir"
"ABGR","Abies grandis (Douglas ex D. Don) Lindl.","grand fir"
"ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir"
"ACCO4","Aconitum columbianum Nutt.","Columbian monkshood"
"ACGI","Acer ginnala Maxim.","Amur maple"
"ACGL","Acer glabrum Torr.","Rocky Mountain maple"
"ACGLD4","Acer glabrum Torr. var. douglasii (Hook.) Dippel","Douglas maple"
"ACGR3","Acer grandidentatum Nutt.","bigtooth maple"
"ACGRG","Acer grandidentatum Nutt. var. grandidentatum","bigtooth maple"
"ACHNA","Achnatherum P. Beauv.","needlegrass"
"ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","INDIAN RICEGRASS"
"ACLE8","Achnatherum lemmonii (Vasey) Barkworth","Lemmon's needlegrass"
"ACLE9","Achnatherum lettermanii (Vasey) Barkworth","Letterman's needlegrass"
"ACMI2","Achillea millefolium L.","WESTERN YARROW"
"ACNE2","Acer negundo L.","BOXELDER"
"ACNE9","Achnatherum nelsonii (Scribn.) Barkworth","Columbia needlegrass"
"ACNEN2","Achnatherum nelsonii (Scribn.) Barkworth ssp. nelsonii","Columbia needlegrass"
"ACOC3","Achnatherum occidentale (Thurb.) Barkworth","western needlegrass"
"ACPL","Acer platanoides L.","Norway maple"
"ACRU2","Actaea rubra (Aiton) Willd.","RED BANEBERRY"
"ACSW3","Achnatherum swallenii (C.L. Hitchc. & Spellenb.) Barkworth","Swallen's ricegrass"
"ACTA80","Acer tataricum L.","tatarian maple"
"ACTH7","Achnatherum thurberianum (Piper) Barkworth","Thurber's needlegrass"
"ACWE3","Achnatherum webberi (Thurb.) Barkworth","Webber ricegrass"
"AGCR","Agropyron cristatum (L.) Gaertn.","CRESTED WHEATGRASS"
"AGCU","Agastache cusickii (Greenm.) A. Heller","Cusick's giant hyssop"
"AGDE2","Agropyron desertorum (Fisch. ex Link) Schult.","standard crested wheatgrass"
"AGFR","Agropyron fragile (Roth) P. Candargy","Siberian wheatgrass"
"AGGI2","Agrostis gigantea Roth","redtop bentgrass"
