"Symbol","Scientific Name with Author","GSAT Common Name"
"ACAN11","Acaciella angustissima (Mill.) Britton & Rose","prairie acacia"
"ACHIL","Achillea L.","yarrow"
"ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","INDIAN RICEGRASS"
"ACMI2","Achillea millefolium L.","Common yarrow"
"ACMIO","Achillea millefolium L. var. occidentalis DC.","WESTERN YARROW"
"ACNE2","Acer negundo L.","BOXELDER"
"ACSA2","Acer saccharinum L.","SILVER MAPLE"
"AECY","Aegilops cylindrica Host","JOINTED GOATGRASS"
"AEGL","Aesculus glabra Willd.","Ohio buckeye"
"AGALA","Ageratina altissima (L.) R.M. King & H. Rob. var. altissima","WHITE SNAKEROOT"
"AGCR","Agropyron cristatum (L.) Gaertn.","CRESTED WHEATGRASS"
"AGGI2","Agrostis gigantea Roth","REDTOP"
"ALLIU","Allium L.","onion"
"ALOPE","Alopecurus L.","foxtail"
"ALVI","Allium vineale L.","WILD GARLIC"
"AMAL","Amaranthus albus L.","prostrate pigweed"
"AMARA","Amaranthus L.","pigweed"
"AMARE","Ambrosia artemisiifolia L. var. elatior (L.) Descourtils","annual ragweed"
"AMBI2","Ambrosia bidentata Michx.","lanceleaf ragweed"
"AMCA6","Amorpha canescens Pursh","LEADPLANT"
"AMFR","Amorpha fruticosa L.","desert false indigo"
"AMORP","Amorpha L.","FALSE INDIGO"
"AMPHI8","Amphiachyris (A. DC.) Nutt.","broomweed"
"AMPS","Ambrosia psilostachya DC.","Cuman ragweed"
"AMTRT2","Ambrosia trifida L. var. trifida","great ragweed"
"ANGE","Andropogon gerardii Vitman","BIG BLUESTEM"
"ANHA","Andropogon hallii Hack.","SAND BLUESTEM"
"ANNE","Antennaria neglecta Greene","FIELD PUSSYTOES"
"ANTE2","Andropogon ternarius Michx.","SPLITBEARD BLUESTEM"
"ANVI2","Andropogon virginicus L.","BROOMSEDGE BLUESTEM"
"APCA","Apocynum cannabinum L.","Indianhemp"
"APOCY","Apocynum L.","Dogbane"
"ARFI2","Artemisia filifolia Torr.","SAND SAGEBRUSH"
"ARNOG","Arnoglossum Raf.","Indian plaintain"
"AROL","Aristida oligantha Michx.","PRAIRIE THREEAWN"
"ARTEM","Artemisia L.","sagebrush"
"ARUND4","Arundo L.","giant reed"
"ASAS","Asclepias asperula (Decne.) Woodson","spider milkweed"
"ASASC","Asclepias asperula (Decne.) Woodson ssp. capricornu (Woodson) Woodson","ANTELOPEHORNS"
"ASCR2","Astragalus crassicarpus Nutt.","GROUNDPLUM MILKVETCH"
"ASHI","Asclepias hirtella (Pennell) Woodson","GREEN MILKWEED"
"ASIMI","Asimina Adans.","PAWPAW"
"ASIN","Asclepias incarnata L.","SWAMP MILKWEED"
"ASSY","Asclepias syriaca L.","Common milkweed"
"ASVE","Asclepias verticillata L.","WHORLED MILKWEED"
"ASVI2","Asclepias viridis Walter","green antelopehorn"
"ATCA2","Atriplex canescens (Pursh) Nutt.","FOURWING SALTBUSH"
"AVFA","Avena fatua L.","WILD OAT"
"BAAL","Baptisia alba (L.) Vent.","white wild indigo"
"BAALM","Baptisia alba (L.) Vent. var. macrophylla (Larisey) Isely","Atlantic wild indigo"
"BAAU","Baptisia australis (L.) R. Br.","blue wild indigo"
"BACCH","Baccharis L.","Baccharis"
"BETUL","Betula L.","birch"
"BIDEN","Bidens L.","beggarticks"
"BOBL","Bothriochloa bladhii (Retz.) S.T. Blake","Caucasian bluestem"
"BOCU","Bouteloua curtipendula (Michx.) Torr.","SIDEOATS GRAMA"
"BODA2","Bouteloua dactyloides (Nutt.) J.T. Columbus","BUFFALOGRASS"
"BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths","BLUE GRAMA"
"BOHI2","Bouteloua hirsuta Lag.","HAIRY GRAMA"
"BOLA2","Bothriochloa laguroides (DC.) Herter","silver beardgrass"
"BREU","Brickellia eupatorioides (L.) Shinners","FALSE BONESET"
"BRIN2","Bromus inermis Leyss.","SMOOTH BROME"
"BRTE","Bromus tectorum L.","CHEATGRASS"
"CAGL8","Carya glabra (Mill.) Sweet","PIGNUT HICKORY"
"CAIL2","Carya illinoinensis (Wangenh.) K. Koch","PECAN"
"CAIN2","Callirhoe involucrata (Torr. & A. Gray) A. Gray","purple poppymallow"
"CALAM2","Calamovilfa (A. Gray) Hack. ex Scribn. & Southworth","sandreed"
"CALO","Calamovilfa longifolia (Hook.) Scribn.","PRAIRIE SANDREED"
"CANNA","Cannabis L.","hemp"
"CANU4","Carduus nutans L.","nodding plumeless thistle"
"CAPUC","Castilleja purpurea (Nutt.) G. Don var. citrina (Pennell) Shinners","prairie Indian paintbrush"
"CAREX","Carex L.","sedge"
"CARYA","Carya Nutt.","hickory"
"CASE12","Calylophus serrulatus (Nutt.) P.H. Raven","yellow sundrops"
"CASTI2","Castilleja Mutis ex L. f.","Indian paintbrush"
"CATAL","Catalpa Scop.","Catalpa"
"CEAM","Ceanothus americanus L.","New Jersey tea"
"CEANO","Ceanothus L.","Ceanothus"
"CECA4","Cercis canadensis L.","EASTERN REDBUD"
