"Symbol","Scientific Name with Author","GSAT Common Name"
"ABELM","Abelmoschus Medik.","okra"
"ABES","Abelmoschus esculentus (L.) Moench","okra"
"ABHU","Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray","mauve"
"ABTH","Abutilon theophrasti Medik.","VELVETLEAF"
"ABUTI","Abutilon Mill.","Indian mallow"
"ACACI","Acacia Mill.","Acacia"
"ACAL2","Acalypha alopecuroidea Jacq.","foxtail copperleaf"
"ACALY","Acalypha L.","copperleaf"
"ACAN11","Acaciella angustissima (Mill.) Britton & Rose","prairie acacia"
"ACANH2","Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner","prairie acacia"
"ACANT3","Acanthospermum Schrank","starburr"
"ACAS","Achyranthes aspera L.","devil's horsewhip"
"ACASA","Achyranthes aspera L. var. aspera","devil's horsewhip"
"ACAU2","Acanthospermum australe (Loefl.) Kuntze","Paraguayan starburr"
"ACCA4","Acorus calamus L.","calamus"
"ACER","Acer L.","maple"
"ACFL","Acer floridanum (Chapm.) Pax","southern sugar maple"
"ACGR2","Acalypha gracilens A. Gray","slender threeseed mercury"
"ACHIL","Achillea L.","yarrow"
"ACHYR2","Achyranthes L.","chaff flower"
"ACLE","Acer leucoderme Small","CHALK MAPLE"
"ACMEL","Acmella Rich. ex Pers.","spotflower"
"ACMI2","Achillea millefolium L.","Common yarrow"
"ACMIO","Achillea millefolium L. var. occidentalis DC.","WESTERN YARROW"
"ACNE2","Acer negundo L.","BOXELDER"
"ACNEN","Acer negundo L. var. negundo","BOXELDER"
"ACNET","Acer negundo L. var. texanum Pax","BOXELDER"
"ACOP","Acmella oppositifolia (Lam.) R.K. Jansen","oppositeleaf spotflower"
"ACOPR","Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen","oppositeleaf spotflower"
"ACORU","Acorus L.","SWEETFLAG"
"ACOS","Acalypha ostryifolia Riddell","pineland threeseed mercury"
"ACPA","Actaea pachypoda Elliott","white baneberry"
"ACRH","Acalypha rhomboidea Raf.","common threeseed mercury"
"ACRU","Acer rubrum L.","RED MAPLE"
"ACRUD","Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.","Drummond's maple"
"ACRUR","Acer rubrum L. var. rubrum","RED MAPLE"
"ACRUT","Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch","RED MAPLE"
"ACSA2","Acer saccharinum L.","SILVER MAPLE"
"ACSA3","Acer saccharum Marshall","SUGAR MAPLE"
"ACSAS","Acer saccharum Marshall var. saccharum","SUGAR MAPLE"
"ACSE","Acalypha setosa A. Rich.","Cuban copperleaf"
"ACTAE","Actaea L.","BANEBERRY"
"ACVI","Acalypha virginica L.","Virginia threeseed mercury"
"ADAN","Adonis annua L.","blooddrops"
