"Symbol","Scientific Name with Author","GSAT Common Name"
"AGCR","Agropyron cristatum (L.) Gaertn.","CRESTED WHEATGRASS"
"AGGI2","Agrostis gigantea Roth","REDTOP"
"ANGE","Andropogon gerardii Vitman","BIG BLUESTEM"
"BOCU","Bouteloua curtipendula (Michx.) Torr.","SIDEOATS GRAMA"
"BODA2","Bouteloua dactyloides (Nutt.) J.T. Columbus","BUFFALOGRASS"
"BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths","BLUE GRAMA"
"BRCI2","Bromus ciliatus L.","fringed brome"
"BRIN2","Bromus inermis Leyss.","SMOOTH BROME"
"BRTE","Bromus tectorum L.","CHEATGRASS"
"CACA4","Calamagrostis canadensis (Michx.) P. Beauv.","bluejoint"
"CAFI","Carex filifolia Nutt.","threadleaf sedge"
"CALO","Calamovilfa longifolia (Hook.) Scribn.","PRAIRIE SANDREED"
"DAGL","Dactylis glomerata L.","ORCHARDGRASS"
"ELCA4","Elymus canadensis L.","CANADA WILDRYE"
"ELRE4","Elymus repens (L.) Gould","quackgrass"
"ELTRS","Elymus trachycaulus (Link) Gould ex Shinners ssp. subsecundus (Link) Á. Löve & D. Löve","bearded wheatgrass"
"ELTRT","Elymus trachycaulus (Link) Gould ex Shinners ssp. trachycaulus","Slender wheatgrass"
"HECOC8","Hesperostipa comata (Trin. & Rupr.) Barkworth ssp. comata","needle and thread"
"HESP11","Hesperostipa spartea (Trin.) Barkworth","PORCUPINEGRASS"
"KOMA","Koeleria macrantha (Ledeb.) Schult.","PRAIRIE JUNEGRASS"
"LOPE","Lolium perenne L.","PERENNIAL RYEGRASS"
"LOPEM2","Lolium perenne L. ssp. multiflorum (Lam.) Husnot","ITALIAN RYEGRASS"
"LOUN","Lotus unifoliolatus (Hook.) Benth.","American bird's-foot trefoil"
"MESA","Medicago sativa L.","ALFALFA"
"NAVI4","Nassella viridula (Trin.) Barkworth","green needlegrass"
"PASM","Pascopyrum smithii (Rydb.) Á. Löve","WESTERN WHEATGRASS"
"PAVI2","Panicum virgatum L.","SWITCHGRASS"
"PHAR3","Phalaris arundinacea L.","REED CANARYGRASS"
"PHPR3","Phleum pratense L.","TIMOTHY"
"POCO","Poa compressa L.","CANADA BLUEGRASS"
"POPR","Poa pratensis L.","KENTUCKY BLUEGRASS"
"SCAR7","Schedonorus arundinaceus (Schreb.) Dumort., nom. cons.","tall fescue"
"SCPR4","Schedonorus pratensis (Huds.) P. Beauv.","MEADOW FESCUE"
"SCSC","Schizachyrium scoparium (Michx.) Nash","LITTLE BLUESTEM"
"SONU2","Sorghastrum nutans (L.) Nash","INDIANGRASS"
"SPCOC2","Sporobolus compositus (Poir.) Merr. var. compositus","TALL DROPSEED"
"SPCR","Sporobolus cryptandrus (Torr.) A. Gray","SAND DROPSEED"
"SPHE","Sporobolus heterolepis (A. Gray) A. Gray","PRAIRIE DROPSEED"
"SPPE","Spartina pectinata Bosc ex Link","PRAIRIE CORDGRASS"
"THIN6","Thinopyrum intermedium (Host) Barkworth & D.R. Dewey","intermediate wheatgrass"
"THPO7","Thinopyrum ponticum (Podp.) Z.-W. Liu & R.-C. Wang","tall wheatgrass"
"TRHY","Trifolium hybridum L.","ALSIKE CLOVER"
"TRPR2","Trifolium pratense L.","RED CLOVER"
"TRRE3","Trifolium repens L.","WHITE CLOVER"
