"Symbol","Scientific Name with Author","GSAT Common Name"
"ABFR2","Abronia fragrans Nutt. ex Hook.","SNOWBALL SANDVERBENA"
"ABTH","Abutilon theophrasti Medik.","VELVETLEAF"
"ACAN11","Acaciella angustissima (Mill.) Britton & Rose","prairie wattle"
"ACCA4","Acorus calamus L.","SWEETFLAG"
"ACGR2","Acalypha gracilens A. Gray","SLENDER COPERLEAF"
"ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","INDIAN RICEGRASS"
"ACMI2","Achillea millefolium L.","yarrow"
"ACNE2","Acer negundo L.","BOXELDER"
"ACOS","Acalypha ostryifolia Riddell","THREE-SEEDED MERCURY"
"ACPA","Actaea pachypoda Elliott","white baneberry"
"ACRE3","Acroptilon repens (L.) DC.","HARDHEADS"
"ACRUR2","Actaea rubra (Aiton) Willd. ssp. rubra","RED BANEBERRY"
"ACSA2","Acer saccharinum L.","SILVER MAPLE"
"ACSA3","Acer saccharum Marshall","SUGAR MAPLE"
"ADPE","Adiantum pedatum L.","maidenhair fern"
"AECY","Aegilops cylindrica Host","JOINTED GOATGRASS"
"AEGL","Aesculus glabra Willd.","Ohio buckeye"
"AGAL5","Ageratina altissima (L.) R.M. King & H. Rob.","WHITE SNAKEROOT"
"AGAS2","Agalinis aspera (Douglas ex Benth.) Britton","TALL FALSE FOXGLOVE"
"AGAU3","Agalinis auriculata (Michx.) S.F. Blake","EARLEAF GERANDIA"
"AGCRP8","Agropyron cristatum (L.) Gaertn. ssp. pectinatum (M. Bieb.) Tzvelev","CRESTED WHEAT GRASS"
"AGDE2","Agropyron desertorum (Fisch. ex Link) Schult.","standard crested wheatgrass"
"AGDE6","Agalinis densiflora (Benth.) S.F. Blake","FINELEAF GERARDIA"
"AGEL4","Agrostis elliottiana Schult.","ELLIOTT'S BENT"
"AGEX","Agrostis exarata Trin.","SPIKE BENTGRASS"
"AGFA2","Agalinis fasciculata (Elliott) Raf.","beach false foxglove"
"AGGA","Agalinis gattingeri (Small) Small","ROUND-STEM FALSE FOXGLOVE"
"AGGI","Agrostemma githago L.","CORNCOCKLE"
"AGGI2","Agrostis gigantea Roth","REDTOP"
"AGGR2","Agrimonia gryposepala Wallr.","agrimony"
"AGHE4","Agalinis heterophylla (Nutt.) Small ex Britton","prairie false foxglove"
"AGHY","Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.","winter bentgrass"
"AGNE2","Agastache nepetoides (L.) Kuntze","CATNIP GIANT HYSSOP"
"AGPA6","Agrimonia parviflora Aiton","MANY FLOWER AGRIMONY"
