"Symbol","Scientific Name with Author","GSAT Common Name"
"ABFR2","Abronia fragrans Nutt. ex Hook.","snowball sand verbena"
"ABTH","Abutilon theophrasti Medik.","VELVETLEAF"
"ACER","Acer L.","maple"
"ACGL","Acer glabrum Torr.","Rocky Mountain maple"
"ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","INDIAN RICEGRASS"
"ACMI2","Achillea millefolium L.","Common yarrow"
"ACNE2","Acer negundo L.","BOXELDER"
"ACRE3","Acroptilon repens (L.) DC.","HARDHEADS"
"ACRH","Acalypha rhomboidea Raf.","Virginia threeseed mercury"
"ACRU2","Actaea rubra (Aiton) Willd.","RED BANEBERRY"
"ACSA2","Acer saccharinum L.","SILVER MAPLE"
"AECY","Aegilops cylindrica Host","JOINTED GOATGRASS"
"AEGL","Aesculus glabra Willd.","Ohio buckeye"
"AGAL5","Ageratina altissima (L.) R.M. King & H. Rob.","WHITE SNAKEROOT"
"AGCR","Agropyron cristatum (L.) Gaertn.","CRESTED WHEATGRASS"
"AGEX","Agrostis exarata Trin.","SPIKE BENTGRASS"
"AGFO","Agastache foeniculum (Pursh) Kuntze","blue giant hyssop"
"AGGL","Agoseris glauca (Pursh) Raf.","pale agoseris"
"AGHY","Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.","winter bentgrass"
"AGNE2","Agastache nepetoides (L.) Kuntze","yellow giant hyssop"
"AGSC","Agastache scrophulariifolia (Willd.) Kuntze","purple giant hyssop"
"AGSC5","Agrostis scabra Willd.","rough bentgrass"
"AGST","Agrimonia striata Michx.","roadside agrimony"
"AGST2","Agrostis stolonifera L.","creeping bentgrass"
"AGTE3","Agalinis tenuifolia (Vahl) Raf.","slenderleaf false foxglove"
"AIAL","Ailanthus altissima (Mill.) Swingle","tree of heaven"
"ALAR","Alopecurus arundinaceus Poir.","creeping meadow foxtail"
"ALCA3","Allium canadense L.","meadow garlic"
"ALCA4","Alopecurus carolinianus Walter","CAROLINA FOXTAIL"
"ALDR","Allium drummondii Regel","Drummond's onion"
"ALGR","Alisma gramineum Lej.","narrowleaf water plantain"
"ALLIU","Allium L.","onion"
"ALOPE","Alopecurus L.","foxtail"
"ALPE4","Alliaria petiolata (M. Bieb.) Cavara & Grande","garlic mustard"
"ALPI2","Aliciella pinnatifida (Nutt. ex A. Gray) J.M. Porter","sticky gilia"
"ALPR3","Alopecurus pratensis L.","MEADOW FOXTAIL"
"ALRO3","Alcea rosea L.","hollyhock"
"ALSA2","Allium sativum L.","cultivated garlic"
