"Symbol","Scientific Name with Author","GSAT Common Name"
"ABBA","Abies balsamea (L.) Mill.","balsam fir"
"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","Rocky Mountain white fir"
"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","white fir"
"ABEL","Abronia elliptica A. Nelson","fragrant white sandverbena"
"ABFR2","Abronia fragrans Nutt. ex Hook.","SNOWBALL SANDVERBENA"
"ABIES","Abies Mill.","fir"
"ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir"
"ABLAL","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","subalpine fir"
"ABLO","Abies lowiana (Gordon & Glend.) A. Murray bis","California white fir"
"ABMA","Abies magnifica A. Murray bis","California red fir"
"ABNA","Abronia nana S. Watson","dwarf sandverbena"
"ABNAC","Abronia nana S. Watson var. covillei (Heimerl) Munz","Coville's dwarf sandverbena"
"ABNAN","Abronia nana S. Watson var. nana","dwarf sandverbena"
"ABPA3","Abutilon parvulum A. Gray","dwarf abutilon"
"ABPO","Abronia pogonantha Heimerl","Mojave sandverbena"
"ABRON","Abronia Juss.","sandverbena"
"ABTH","Abutilon theophrasti Medik.","VELVETLEAF"
"ABTU","Abronia turbinata Torr. ex S. Watson","transmontane sandverbena"
"ABUTI","Abutilon Mill.","Indian mallow"
"ABVI","Abronia villosa S. Watson","desert sandverbena"
"ABVIV","Abronia villosa S. Watson var. villosa","desert sandverbena"
"ACACI","Acacia Mill.","Acacia"
"ACAMP","Acamptopappus (A. Gray) A. Gray","goldenhead"
"ACAR14","Achnatherum aridum (M.E. Jones) Barkworth","arid needlegrass"
"ACBL","Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale]","Bloomer's ricegrass"
"ACCO3","Achyronychia cooperi Torr. & A. Gray","onyx flower"
"ACCO4","Aconitum columbianum Nutt.","Columbian monkshood"
"ACER","Acer L.","maple"
"ACGI","Acer ginnala Maxim.","Amur maple"
"ACGL","Acer glabrum Torr.","Rocky Mountain maple"
"ACGLD3","Acer glabrum Torr. var. diffusum (Greene) Smiley","Rocky Mountain maple"
"ACGLD4","Acer glabrum Torr. var. douglasii (Hook.) Dippel","Douglas' maple"
"ACGLG2","Acer glabrum Torr. var. glabrum","Rocky Mountain maple"
"ACGLT2","Acer glabrum Torr. var. torreyi (Greene) Smiley","Torrey's maple"
"ACGR3","Acer grandidentatum Nutt.","bigtooth maple"
"ACGRG","Acer grandidentatum Nutt. var. grandidentatum","bigtooth maple"
"ACHIL","Achillea L.","yarrow"
"ACHNA","Achnatherum P. Beauv.","needlegrass"
"ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","INDIAN RICEGRASS"
"ACHYR3","Achyronychia Torr. & A. Gray","achyronychia"
"ACLE9","Achnatherum lettermanii (Vasey) Barkworth","Letterman's needlegrass"
"ACLEL","Achnatherum lemmonii (Vasey) Barkworth var. lemmonii","Lemmon's needlegrass"
"ACLEP","Achnatherum lemmonii (Vasey) Barkworth var. pubescens (Crampton) Barkworth","Lemmon's needlegrass"
"ACMA3","Acer macrophyllum Pursh","bigleaf maple"
"ACMI2","Achillea millefolium L.","Common yarrow"
"ACMIA","Achillea millefolium L. var. alpicola (Rydb.) Garrett","Common yarrow"
"ACMIO","Achillea millefolium L. var. occidentalis DC.","WESTERN YARROW"
"ACNE10","Achnatherum nevadense (B.L. Johnson) Barkworth","Nevada needlegrass"
"ACNE2","Acer negundo L.","BOXELDER"
"ACNED","Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth","Columbia needlegrass"
"ACNEI2","Acer negundo L. var. interius (Britton) Sarg.","boxelder maple"
"ACNEN2","Achnatherum nelsonii (Scribn.) Barkworth ssp. nelsonii","Columbia needlegrass"
"ACOCC","Achnatherum occidentale (Thurb.) Barkworth ssp. californicum (Merr. & Burtt Davy) Barkworth","California needlegrass"
"ACOCO","Achnatherum occidentale (Thurb.) Barkworth ssp. occidentale","western needlegrass"
"ACOCP","Achnatherum occidentale (Thurb.) Barkworth ssp. pubescens (Vasey) Barkworth","Elmer's needlegrass"
"ACONI","Aconitum L.","monkshood"
"ACOUR","Acourtia D. Don","desertpeony"
"ACPAD","Achnatherum parishii (Vasey) Barkworth var. depauperatum (M.E. Jones) Barkworth","crested needlegrass"
"ACPI2","Achnatherum pinetorum (M.E. Jones) Barkworth","pine needlegrass"
"ACRE3","Acroptilon repens (L.) DC.","Russian knapweed"
"ACRI8","Achnatherum richardsonii (Link) Barkworth","Richardson's needlegrass"
"ACROP","Acroptilon Cass.","Acroptilon"
"ACRU2","Actaea rubra (Aiton) Willd.","RED BANEBERRY"
"ACRUA8","Actaea rubra (Aiton) Willd. ssp. arguta (Nutt.) Hultén","RED BANEBERRY"
"ACSA2","Acer saccharinum L.","SILVER MAPLE"
"ACSC11","Achnatherum scribneri (Vasey) Barkworth","Scribner's needlegrass"
"ACSH","Acamptopappus shockleyi A. Gray","Shockley's goldenhead"
"ACSP","Acamptopappus sphaerocephalus (Harv. & A. Gray ex A. Gray) A. Gray","rayless goldenhead"
"ACSP12","Achnatherum speciosum (Trin. & Rupr.) Barkworth","desert needlegrass"
"ACSPH","Acamptopappus sphaerocephalus (Harv. & A. Gray ex A. Gray) A. Gray var. hirtellus S.F. Blake","rayless goldenhead"
"ACSPS2","Acamptopappus sphaerocephalus (Harv. & A. Gray ex A. Gray) A. Gray var. sphaerocephalus","rayless goldenhead"
"ACTAE","Actaea L.","BANEBERRY"
"ACTH7","Achnatherum thurberianum (Piper) Barkworth","Thurber's needlegrass"
"ACWE3","Achnatherum webberi (Thurb.) Barkworth","Webber's ricegrass"
"ACWE3","Achnatherum webberi (Thurb.) Barkworth","Webber's needlegrass"
"ACWR5","Acourtia wrightii (A. Gray) Reveal & R.M. King","Wright's desertpeony"
"ADCA","Adiantum capillus-veneris L.","common maidenhair fern"
"ADCO2","Adenophyllum cooperi (A. Gray) Strother","Cooper's dogweed"
"ADCO2","Adenophyllum cooperi (A. Gray) Strother","Cooper's dyssodia"
"ADENO2","Adenostoma Hook. & Arn.","chamise"
