"Symbol","Scientific Name with Author","GSAT Common Name"
"ABAN","Abronia angustifolia Greene","sand verbina (purple)"
"ACCO4","Aconitum columbianum Nutt.","monkshood (Columbian)"
"ACHNA","Achnatherum P. Beauv.","needlegrass spp."
"ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","INDIAN RICEGRASS"
"ACLE9","Achnatherum lettermanii (Vasey) Barkworth","Letterman's needlegrass"
"ACMI2","Achillea millefolium L.","yarrow (common, western)"
"ACNA2","Acourtia nana (A. Gray) Reveal & R.M. King","desert holly (dwarf desert peony)"
"ACNEN2","Achnatherum nelsonii (Scribn.) Barkworth ssp. nelsonii","Columbia needlegrass"
"ACRO7","Achnatherum robustum (Vasey) Barkworth","sleepygrass"
"ACSC11","Achnatherum scribneri (Vasey) Barkworth","Scribner needlegrass"
"AGAVE","Agave L.","agave spp."
"AGGI2","Agrostis gigantea Roth","REDTOP"
"AGHE2","Agoseris heterophylla (Nutt.) Greene","mountain dandelion"
"AGLE","Agave lechuguilla Torr.","agave (lechuguilla)"
"AGPA3","Agave palmeri Engelm.","century plant (Palmer's)"
"AGPA4","Agave parryi Engelm.","Parry agave"
"ALAE","Alopecurus aequalis Sobol.","SHORTAWN FOXTAIL"
"ALIN","Allionia incarnata L.","trailing windmills"
"ALOC2","Allenrolfea occidentalis (S. Watson) Kuntze","iodinebush (pickleweed)"
"AMARA","Amaranthus L.","pigweed spp."
"AMPS","Ambrosia psilostachya DC.","western ragweed (cuman)"
"AMSIN","Amsinckia Lehm.","fiddleneck spp."
"AMTR","Ambrosia trifida L.","perennial ragweed (great)"
"AMUT","Amelanchier utahensis Koehne","serviceberry (Utah)"
"ANGE","Andropogon gerardii Vitman","BIG BLUESTEM"
"ANHA","Andropogon hallii Hack.","SAND BLUESTEM"
"ANTH2","Anisacanthus thurberi (Torr.) A. Gray","desert honeysuckle"
"ANVI2","Andropogon virginicus L.","broomsedge"
"ARAE","Argemone aenea G.B. Ownbey","prickly poppy (golden)"
"ARAN7","Argentina anserina (L.) Rydb.","silverweed cinquefoil"
"ARAR8","Artemisia arbuscula Nutt.","low sagebrush"
"ARBI3","Artemisia bigelovii A. Gray","Bigelow's sagebrush"
"ARCA11","Artemisia californica Less.","field sagewort"
"ARCA14","Artemisia carruthii Alph. Wood ex Carruth.","Carruth's sagewort"
"ARDI5","Aristida divaricata Humb. & Bonpl. ex Willd.","POVERTY THREEAWN"
"ARDO3","Artemisia douglasiana Besser","green sagewort (Douglas)"
"ARDO4","Arundo donax L.","GIANTREED"
"ARFI2","Artemisia filifolia Torr.","SAND SAGEBRUSH"
"ARFR4","Artemisia frigida Willd.","fringed sagewort (prairie)"
"ARGL9","Artemisia glomerata Ledeb.","cudweed sagewort (pacific alpine wormwood)"
"ARIST","Aristida L.","perennial threeawn spp."
"ARNO4","Artemisia nova A. Nelson","black sagebrush"
"ARPUL","Aristida purpurea Nutt. var. longiseta (Steud.) Vasey","red threeawn (Fendler)"
"ARPUP6","Aristida purpurea Nutt. var. purpurea","PURPLE THREEAWN"
"ARTEM","Artemisia L.","sagebrush spp."
"ARTR2","Artemisia tridentata Nutt.","big sagebrush (mountain)"
"ARTRT","Artemisia tridentata Nutt. ssp. tridentata","basin big sagebrush"
"ARTRW8","Artemisia tridentata Nutt. ssp. wyomingensis Beetle & Young","Wyoming big sagebrush"
"ASDR3","Astragalus drummondii Douglas ex Hook.","Drummond's milkvetch"
"ASLA4","Asclepias latifolia (Torr.) Raf.","BROADLEAF MILKWEED"
"ASMO7","Astragalus mollissimus Torr.","woolly loco"
"ASSP","Asclepias speciosa Torr.","SHOWY MILKWEED"
"ASSU2","Asclepias subverticillata (A. Gray) Vail","WHORLED MILKWEED"
"ASTER","Aster L.","skunk daisy"
"ASTRA","Astragalus L.","astragalus spp."
"ATCA2","Atriplex canescens (Pursh) Nutt.","FOURWING SALTBUSH"
"ATCO","Atriplex confertifolia (Torr. & Frém.) S. Watson","shadscale"
"ATRIP","Atriplex L.","atriplex spp. (saltbush)"
"AVFA","Avena fatua L.","WILD OAT"
"AVSA","Avena sativa L.","oatgrass (common)"
"BACCH","Baccharis L.","baccharis spp."
"BAMU","Baileya multiradiata Harv. & A. Gray ex A. Gray","desert baileya (marigold)"
"BAPT","Baccharis pteronioides DC.","yerba-de-pasmo"
"BASA2","Baccharis sarothroides A. Gray","broom baccharis (desert)"
"BASA3","Balsamorhiza sagittata (Pursh) Nutt.","arrowleaf balsamroot"
"BASA4","Baccharis salicifolia (Ruiz & Pav.) Pers.","seepwillow (mules fat)"
"BASC5","Bassia scoparia (L.) A.J. Scott","kochia (Mexican fireweed)"
"BEOC2","Betula occidentalis Hook.","water birch"
"BLTR","Blepharoneuron tricholepis (Torr.) Nash","pine dropseed"
"BOBA2","Bouteloua barbata Lag.","SIXWEEKS GRAMA"
"BOBA3","Bothriochloa barbinodis (Lag.) Herter","CANE BLUESTEM"
"BOBR","Bouteloua breviseta Vasey","gyp grama"
"BOCH","Bouteloua chondrosioides (Kunth) Benth. ex S. Watson","sprucetop grama"
"BOCU","Bouteloua curtipendula (Michx.) Torr.","SIDEOATS GRAMA"
"BODA2","Bouteloua dactyloides (Nutt.) J.T. Columbus","BUFFALOGRASS"
"BOER4","Bouteloua eriopoda (Torr.) Torr.","black grama"
"BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths","BLUE GRAMA"
"BOHI2","Bouteloua hirsuta Lag.","HAIRY GRAMA"
"BORA","Bouteloua radicosa (Fourn.) Griffiths","purple grama"
"BORO2","Bouteloua rothrockii Vasey","Rothrock's grama"
"BOSA","Bothriochloa saccharoides (Sw.) Rydb.","silver bluestem"
"BRAN","Bromus anomalus Rupr. ex Fourn.","nodding bromegrass"
"BRAR5","Bromus arvensis L.","JAPANESE BROME"
"BRASS2","Brassica L.","annual mustard spp."
"BRICK","Brickellia Elliott","brickelbush spp."
"BRIN2","Bromus inermis Leyss.","SMOOTH BROME"
"BRMA4","Bromus marginatus Nees ex Steud.","mountain brome"
"BROMU","Bromus L.","brome spp."
"BRTE","Bromus tectorum L.","CHEATGRASS"
"CACA4","Calamagrostis canadensis (Michx.) P. Beauv.","BLUEJOINT REEDGRASS"
"CACO17","Castilleja coccinea (L.) Spreng.","Indian paintbrush"
"CAFI","Carex filifolia Nutt.","threadleaf sedge"
"CAGI3","Calamovilfa gigantea (Nutt.) Scribn. & Merr.","giant sandreed"
"CAGU","Calochortus gunnisonii S. Watson","mariposa lily (Gunnison's)"
"CAHA5","Carex hassei L.H. Bailey","salt sedge"
"CALE27","Castilleja levisecta Greenm.","golden paintbrush"
"CALO","Calamovilfa longifolia (Hook.) Scribn.","PRAIRIE SANDREED"
"CANE2","Carex nebrascensis Dewey","NEBRASKA SEDGE"
"CAREX","Carex L.","sedges"
"CARU","Calamagrostis rubescens Buckley","pine reedgrass"
"CASSI","Cassia L.","senna spp."
"CEEH","Celtis ehrenbergiana (Klotzsch) Liebm.","desert hackberry (spiny)"
"CEFE","Ceanothus fendleri A. Gray","buckbrush ceanothus (Fendler's)"
"CELAR","Celtis laevigata Willd. var. reticulata (Torr.) L.D. Benson","hackberry (netleaf)"
"CELO3","Cenchrus longispinus (Hack.) Fernald","field sandbur"
"CEMOP","Cercocarpus montanus Raf. var. paucidentatus (S. Watson) F.L. Martin","mountainmahogany (hairy)"
"CHAL7","Chenopodium album L.","LAMBSQUARTERS"
"CHCU2","Chloris cucullata Bisch.","hooded windmillgrass"
"CHENO","Chenopodium L.","goosefoot spp."
"CHLI2","Chilopsis linearis (Cav.) Sweet","DESERT WILLOW"
"CHLOR","Chloris Sw.","windmillgrass spp."
"CHPU4","Chrysothamnus pulchellus (A. Gray) Greene","southwest rabbitbrush"
"CHRYS2","Chrysanthemum L.","daisy"
"CHVE2","Chloris verticillata Nutt.","tumble windmillgrass"
"CHVI4","Chloris virgata Sw.","feather fingergrass"
"CHVI8","Chrysothamnus viscidiflorus (Hook.) Nutt.","Douglas rabbitbrush (yellow)"
"CINE","Cirsium neomexicanum A. Gray","New Mexico thistle"
"CIRSI","Cirsium Mill.","thistle spp."
"CLLI2","Clematis ligusticifolia Nutt.","virginsbower"
"CLLO","Cleomella longipes Torr.","Chiricahua Mountain stinkweed"
"CLSE","Cleome serrulata Pursh","ROCKY MOUNTAIN BEEPLANT"
"COAU2","Corydalis aurea Willd.","golden corydalis (scrambled eggs)"
"COER5","Condalia ericoides (A. Gray) M.C. Johnst.","common javelinabush"
"COER5","Condalia ericoides (A. Gray) M.C. Johnst.","javilina bush"
"COREO2","Coreopsis L.","tickseed"
"COSP3","Condalia spathulata A. Gray","knifeleaf condalia (squaw bush)"
"COTI3","Coreopsis tinctoria Nutt.","plains tickseed"
"CROTO","Croton L.","croton spp."
"CRPOP","Croton pottsii (Klotzsch) Müll. Arg. var. pottsii","leather croton"
"CRTE4","Croton texensis (Klotzsch) Müll. Arg.","TEXAS CROTON"
"CRYPT","Cryptantha Lehm. ex G. Don","cryptantha spp."
"CUFO","Cucurbita foetidissima Kunth","buffalogourd pumpkin (Missouri)"
"CUPA","Cucurbita palmata S. Watson","coyote gourd"
"CYIMI","Cylindropuntia imbricata (Haw.) F.M. Knuth var. imbricata","WALKINGSTICK CHOLLA"
"CYKL","Cylindropuntia kleiniae (DC.) F.M. Knuth","candle cholla"
"CYLE8","Cylindropuntia leptocaulis (DC.) F.M. Knuth","christmastree cactus (tesajo cactus)"
"CYPER","Cyperus L.","flatsedge spp."
"CYSP8","Cylindropuntia spinosior (Engelm.) F.M. Knuth","cholla cactus (walkingstick)"
"DAFO","Dalea formosa Torr.","FEATHER DALEA"
"DAFRF","Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz","Shrubby cinquefoil"
"DAGL","Dactylis glomerata L.","ORCHARDGRASS"
"DALA3","Dalea lanata Spreng.","woolly prairie clover"
"DALA4","Dalea lasiathera A. Gray","purple prairie clover"
"DALEA","Dalea L.","dalea spp."
"DAPU7","Dasyochloa pulchella (Kunth) Willd. ex Rydb.","fluffgrass (low woollygrass)"
"DAST","Datura stramonium L.","JIMSONWEED"
"DAWH2","Dasylirion wheeleri S. Watson","sotol (common)"
"DECE","Deschampsia cespitosa (L.) P. Beauv.","tufted hairgrass"
"DECO3","Delphinium ×confertiflorum Wooton (pro sp.) [scaposum × wootonii]","larkspur"
"DESMA","Desmanthus Willd.","bundleflower"
"DESO2","Descurainia sophia (L.) Webb ex Prantl","tansymustard"
"DIAR7","Digitaria arenicola (Swallen) Beetle","fall witchgrass (sand grabgrass)"
"DICA8","Digitaria californica (Benth.) Henr.","Arizona cottontop"
"DISP","Distichlis spicata (L.) Greene","INLAND SALTGRASS"
"DIWI2","Dimorphocarpa wislizeni (Engelm.) Rollins","spectacle pod"
"DYPA","Dyssodia papposa (Vent.) Hitchc.","fetid marigold"
"ECCR","Echinochloa crus-galli (L.) P. Beauv.","BARNYARDGRASS"
"ELAN","Elaeagnus angustifolia L.","Russian-olive"
"ELCA4","Elymus canadensis L.","CANADA WILDRYE"
"ELEL5","Elymus elymoides (Raf.) Swezey","BOTTLEBRUSH SQUIRRELTAIL"
"ELLAL","Elymus lanceolatus (Scribn. & J.G. Sm.) Gould ssp. lanceolatus","thickspike wheatgrass"
"ELRE4","Elymus repens (L.) Gould","quackgrass"
"ELTR7","Elymus trachycaulus (Link) Gould ex Shinners","Slender wheatgrass"
"ENDE","Enneapogon desvauxii Desv. ex P. Beauv.","spike pappusgrass"
"EPCU","Ephedra cutleri Peebles","Cutler mormontea (jointfir)"
"EPHED","Ephedra L.","ephedra spp."
"EPTR","Ephedra trifurca Torr. ex S. Watson","longleaf ephedra (jointfir)"
"EPVI","Ephedra viridis Coville","mormon-tea"
"ERAGR","Eragrostis von Wolf","lovegrass spp."
"ERAN4","Eriogonum annuum Nutt.","annual buckwheat"
