"Symbol","Scientific Name with Author","GSAT Common Name"
"ABFR2","Abronia fragrans Nutt. ex Hook.","Sweet sand verbena"
"ABTH","Abutilon theophrasti Medik.","VELVETLEAF"
"ACAM","Acorus americanus (Raf.) Raf.","Sweet flag"
"ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","INDIAN RICEGRASS"
"ACMI2","Achillea millefolium L.","Common yarrow"
"ACNEI2","Acer negundo L. var. interius (Britton) Sarg.","BOXELDER"
"ACRE3","Acroptilon repens (L.) DC.","Russian knapweed"
"ACRH","Acalypha rhomboidea Raf.","common threeseed mercury"
"ACRUR2","Actaea rubra (Aiton) Willd. ssp. rubra","BANEBERRY"
"ACSI","Achillea sibirica Ledeb.","Siberian yarrow"
"AECY","Aegilops cylindrica Host","JOINTED GOATGRASS"
"AGALA","Ageratina altissima (L.) R.M. King & H. Rob. var. altissima","WHITE SNAKEROOT"
"AGAS2","Agalinis aspera (Douglas ex Benth.) Britton","Rough gerardia"
"AGCR","Agropyron cristatum (L.) Gaertn.","CRESTED WHEATGRASS"
"AGFO","Agastache foeniculum (Pursh) Kuntze","Lavender hyssop"
"AGGI","Agrostemma githago L.","common corncockle"
"AGGL","Agoseris glauca (Pursh) Raf.","false dandelion"
"AGGR2","Agrimonia gryposepala Wallr.","agrimony"
"AGHY","Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.","winter bentgrass"
"AGPE","Agrostis perennans (Walter) Tuck.","upland bentgrass"
"AGSC5","Agrostis scabra Willd.","rough bentgrass"
"AGST","Agrimonia striata Michx.","agrimony"
"AGST2","Agrostis stolonifera L.","creeping bentgrass"
"AGTE3","Agalinis tenuifolia (Vahl) Raf.","Slender gerardia"
"ALAE","Alopecurus aequalis Sobol.","Short-awn foxtail"
"ALAR","Alopecurus arundinaceus Poir.","creeping meadow foxtail"
"ALCA4","Alopecurus carolinianus Walter","CAROLINA FOXTAIL"
"ALDE","Alyssum desertorum Stapf","desert madwort"
"ALGE2","Alopecurus geniculatus L.","Marsh foxtail"
"ALGR","Alisma gramineum Lej.","Narrow-leaf water plantain"
"ALINR","Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen","speckled alder"
"ALOF2","Althaea officinalis L.","common marshmallow"
"ALPA14","Almutaster pauciflorus (Nutt.) Á. Löve & D. Löve","Few-flowered aster"
"ALPE4","Alliaria petiolata (M. Bieb.) Cavara & Grande","garlic mustard"
"ALPR3","Alopecurus pratensis L.","MEADOW FOXTAIL"
"ALST","Allium stellatum Fraser ex Ker Gawl.","PINK WILD ONION"
"ALSU","Alisma subcordatum Raf.","American water plantain"
"ALTE","Allium textile A. Nelson & J.F. Macbr.","WHITE WILD ONION"
"ALTR3","Allium tricoccum Aiton","wild leek"
"ALTR7","Alisma triviale Pursh","northern water plantain"
"AMAC2","Ambrosia acanthicarpa Hook.","Annual bursage"
"AMAL","Amaranthus albus L.","prostrate pigweed"
"AMAL","Amaranthus albus L.","prostrate pigweed"
"AMAL2","Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.","Saskatoon serviceberry"
"AMAR2","Ambrosia artemisiifolia L.","COMMON RAGWEED"
"AMBR2","Amphicarpaea bracteata (L.) Fernald","American hog peanut"
"AMCA6","Amorpha canescens Pursh","LEADPLANT"
"AMCO","Ammannia coccinea Rottb.","valley redstem"
"AMFR","Amorpha fruticosa L.","FALSE INDIGO"
"AMHU2","Amelanchier humilis Wiegand","low serviceberry"
"AMHY","Amaranthus hybridus L.","slim amaranth"
"AMMEI2","Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr. var. intermedia (Fisch. & C.A. Mey.) Ganders","fiddleneck"
"AMNA","Amorpha nana Nutt.","dwarf false indigo"
"AMPS","Ambrosia psilostachya DC.","WESTERN RAGWEED"
"AMRE","Amaranthus retroflexus L.","redroot amaranth"
"AMTR","Ambrosia trifida L.","great ragweed"
"AMTU","Amaranthus tuberculatus (Moq.) Sauer","Tall water hemp"
"AMTU","Amaranthus tuberculatus (Moq.) Sauer","Water hemp"
"ANAR16","Anchusa arvensis (L.) M. Bieb.","small bugloss"
"ANAR6","Anthemis arvensis L.","corn chamomile"
"ANCA8","Anemone canadensis L.","MEADOW ANEMONE"
"ANCO2","Anthemis cotula L.","Dog fennel"
"ANCY","Anemone cylindrica A. Gray","CANDLE ANEMONE"
"ANGE","Andropogon gerardii Vitman","BIG BLUESTEM"
"ANGR2","Anethum graveolens L.","DILL"
"ANHA","Andropogon hallii Hack.","SAND BLUESTEM"
"ANMI3","Antennaria microphylla Rydb.","Pink pussy-toes"
"ANMI4","Anagallis minima (L.) Krause","CHAFFWEED"
"ANMU","Anemone multifida Poir.","Cleft anemone"
"ANNE","Antennaria neglecta Greene","Field pussy-toes"
"ANOC2","Androsace occidentalis Pursh","Western rock jasmine"
"ANPA4","Antennaria parvifolia Nutt.","Pussy-toes"
"ANPA9","Antennaria parlinii Fernald","Plainleaf pussy-toes"
"ANQUB2","Anemone quinquefolia L. var. bifolia Farw.","wood anemone"
"ANSE4","Androsace septentrionalis L.","Northern rock jasmine"
"ANTI","Anthemis tinctoria L.","Yellow chamomile"
"ANVI3","Anemone virginiana L.","tall thimbleweed"
"APAM","Apios americana Medik.","groundnut"
"APAN2","Apocynum androsaemifolium L.","SPREADING DOGBANE"
"APCA","Apocynum cannabinum L.","Indianhemp"
"APFL","Apocynum ×floribundum Greene (pro sp.) [androsaemifolium × cannabinum]","Dogbane"
"AQCA","Aquilegia canadensis L.","wild columbine"
"ARAB3","Artemisia absinthium L.","wormwood"
"ARAN7","Argentina anserina (L.) Rydb.","silverweed"
"ARBI2","Artemisia biennis Willd.","biennial wormwood"
"ARCA","Arabis canadensis L.","SICKLEPOD"
"ARCA13","Artemisia cana Pursh","silver sagebrush"
"ARCAC","Artemisia campestris L. ssp. caudata (Michx.) H.M. Hall & Clem.","Western sagewort"
"ARCO9","Arnica cordifolia Hook.","heartleaf arnica"
"ARDI2","Arabis ×divaricarpa A. Nelson (pro sp.) [drummondii × holboellii]","Spreadoid rock cress"
"ARDR","Arabis drummondii A. Gray","Drummond's rockcress"
"ARDR4","Artemisia dracunculus L.","Silky wormwood"
"ARFR4","Artemisia frigida Willd.","fringed sagewort"
"ARFU3","Arnica fulgens Pursh","Arnica"
"ARGL","Arabis glabra (L.) Bernh.","tower rockcress"
"ARHIP","Arabis hirsuta (L.) Scop. var. pycnocarpa (M. Hopkins) Rollins","rock cress"
"ARHOC","Arabis holboellii Hornem. var. collinsii (Fernald) Rollins","Collins' rockcress"
"ARHOP3","Arabis holboellii Hornem. var. pinetorum (Tidestr.) Rollins","Holboell's rockcress"
"ARLO7","Artemisia longifolia Nutt.","Long-leaved sage"
"ARLUL2","Artemisia ludoviciana Nutt. ssp. ludoviciana","white sagebrush"
"ARNU2","Aralia nudicaulis L.","wild sarsaparilla"
"ARPO2","Argemone polyanthemos (Fedde) G.B. Ownbey","PRICKLY POPPY"
"ARPUL","Aristida purpurea Nutt. var. longiseta (Steud.) Vasey","red threeawn"
"ARRU4","Armoracia rusticana G. Gaertn., B. Mey. & Scherb.","horseradish"
"ARTO","Arctium tomentosum Mill.","Woolly burrdock"
"ARTR","Arisaema triphyllum (L.) Schott","Jack in the pulpit"
"ARTR2","Artemisia tridentata Nutt.","big sagebrush"
"ARUV","Arctostaphylos uva-ursi (L.) Spreng.","kinnikinnick"
"ASAG2","Astragalus agrestis Douglas ex G. Don","field milkvetch"
"ASAU4","Astragalus australis (L.) Lam.","Indian milk-vetch"
"ASBI2","Astragalus bisulcatus (Hook.) A. Gray","Two-grooved milkvetch"
"ASCA","Asarum canadense L.","Canadian wildginger"
"ASCA11","Astragalus canadensis L.","CANADA MILKVETCH"
"ASCEF","Astragalus ceramicus Sheldon var. filifolius (A. Gray) F.J. Herm.","Painted milkvetch"
"ASCRC3","Astragalus crassicarpus Nutt. var. crassicarpus","GROUNDPLUM MILKVETCH"
"ASDR3","Astragalus drummondii Douglas ex Hook.","Drummond's milkvetch"
"ASFL2","Astragalus flexuosus Douglas ex G. Don","Pliant milkvetch"
"ASGI5","Astragalus gilviflorus Sheldon","plains milkvetch"
"ASGR3","Astragalus gracilis Nutt.","Slender milkvetch"
"ASIN","Asclepias incarnata L.","SWAMP MILKWEED"
"ASKE","Astragalus kentrophyta A. Gray","spiny milkvetch"
"ASLA3","Asclepias lanuginosa Nutt.","woolly milkweed"
"ASLAR","Astragalus laxmannii Jacq. var. robustior (Hook.) Barneby & S.L. Welsh","Standing milk-vetch"
"ASLO4","Astragalus lotiflorus Hook.","lotus milkvetch"
"ASMI10","Astragalus missouriensis Nutt.","MISSOURI MILKVETCH"
"ASNE2","Astragalus neglectus (Torr. & A. Gray) Sheldon","Cooper's milkvetch"
"ASOF","Asparagus officinalis L.","Asparagus"
"ASOV","Asclepias ovalifolia Decne.","oval-leaf milkweed"
"ASPE5","Astragalus pectinatus (Douglas ex Hook.) Douglas ex G. Don","NARROWLEAF MILKVETCH"
"ASPL2","Astragalus plattensis Nutt.","Platte River milkvetch"
"ASPR","Asperugo procumbens L.","German-madwort"
"ASPU","Asclepias pumila (A. Gray) Vail","PLAINS MILKWEED"
"ASPU9","Astragalus purshii Douglas ex Hook.","Pursh milkvetch"
"ASRA2","Astragalus racemosus Pursh","alkali milkvetch"
"ASSP","Asclepias speciosa Torr.","SHOWY MILKWEED"
"ASSP6","Astragalus spatulatus Sheldon","TUFTED MILKVETCH"
"ASSU3","Asclepias sullivantii Engelm. ex A. Gray","Smooth milkweed"
"ASSY","Asclepias syriaca L.","Common milkweed"
"ASTE5","Astragalus tenellus Pursh","looseflower milkvetch"
"ASVE","Asclepias verticillata L.","WHORLED MILKWEED"
"ASVE5","Astragalus vexilliflexus Sheldon","bentflower milkvetch"
"ASVI","Asclepias viridiflora Raf.","GREEN MILKWEED"
"ATAR2","Atriplex argentea Nutt.","SILVERSCALE SALTBUSH"
"ATCA2","Atriplex canescens (Pursh) Nutt.","fourwing saltbush"
"ATCO","Atriplex confertifolia (Torr. & Frém.) S. Watson","Spiny saltbush"
"ATFI","Athyrium filix-femina (L.) Roth","ladyfern"
"ATHO","Atriplex hortensis L.","Golden orach"
"ATMI2","Atriplex micrantha Ledeb.","twoscale saltbush"
"ATNU2","Atriplex nuttallii S. Watson","Nuttall's saltbush"
"ATRO","Atriplex rosea L.","Redscale"
"ATSU2","Atriplex subspicata (Nutt.) Rydb.","saline saltbush"
"AVFA","Avena fatua L.","WILD OAT"
"AVHO3","Avenula hookeri (Scribn.) Holub","Spike oat"
"AXAM","Axyris amaranthoides L.","Russian pigweed"
"BARO","Bacopa rotundifolia (Michx.) Wettst.","Water hyssop"
"BASC5","Bassia scoparia (L.) A.J. Scott","burningbush"
"BAVU","Barbarea vulgaris W.T. Aiton","garden yellowrocket"
"BEER","Berula erecta (Huds.) Coville","Cutleaf water parsnip"
"BEIN2","Berteroa incana (L.) DC.","hoary false madwort"
"BEOC2","Betula occidentalis Hook.","Mountain birch"
"BEPA","Betula papyrifera Marshall","paper birch"
"BEPE2","Bellis perennis L.","Lawn daisy"
"BEPUG","Betula pumila L. var. glandulifera Regel","dwarf birch"
"BESY","Beckmannia syzigachne (Steud.) Fernald","American sloughgrass"
"BICE","Bidens cernua L.","NODDING BEGGARTICK"
"BICO5","Bidens connata Muhl. ex Willd.","STICKTIGHT"
"BIFR","Bidens frondosa L.","devil's beggartick"
"BITR","Bidens tripartita L.","beggarticks"
"BIVU","Bidens vulgata Greene","big devils beggartick"
"BOASL","Boltonia asteroides (L.) L'Hér. var. latisquama (A. Gray) Cronquist","White boltonia"
"BOASR","Boltonia asteroides (L.) L'Hér. var. recognita (Fernald & Grisc.) Cronquist","White boltonia"
"BOCU","Bouteloua curtipendula (Michx.) Torr.","SIDEOATS GRAMA"
"BODA2","Bouteloua dactyloides (Nutt.) J.T. Columbus","Buffalo-grass"
"BOFL3","Bolboschoenus fluviatilis (Torr.) Soják","RIVER BULRUSH"
"BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths","BLUE GRAMA"
"BOHI2","Bouteloua hirsuta Lag.","HAIRY GRAMA"
"BOMA7","Bolboschoenus maritimus (L.) Palla","Prairie bulrush"
"BOMI","Botrychium minganense Victorin","Moonwort"
"BOVI","Botrychium virginianum (L.) Sw.","RATTLESNAKE FERN"
