"Symbol","Scientific Name with Author","GSAT Common Name"
"ABFR2","Abronia fragrans Nutt. ex Hook.","snowball sand verbena"
"ABFR3","Abutilon fruticosum Guill. & Perr.","Texas Indian mallow"
"ABRON","Abronia Juss.","sand verbena"
"ABTH","Abutilon theophrasti Medik.","VELVETLEAF"
"ABUTI","Abutilon Mill.","Indian mallow"
"ACALY","Acalypha L.","copperleaf"
"ACAN11","Acaciella angustissima (Mill.) Britton & Rose","prairie acacia"
"ACCA4","Acorus calamus L.","calamus"
"ACER","Acer L.","maple"
"ACGR2","Acalypha gracilens A. Gray","slender threeseed mercury"
"ACHIL","Achillea L.","yarrow"
"ACHNA","Achnatherum P. Beauv.","needlegrass"
"ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","INDIAN RICEGRASS"
"ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","INDIAN RICEGRASS"
"ACMEL","Acmella Rich. ex Pers.","spotflower"
"ACMI2","Achillea millefolium L.","Common yarrow"
"ACMIO","Achillea millefolium L. var. occidentalis DC.","WESTERN YARROW"
"ACMO4","Acalypha monococca (Engelm. ex A. Gray) Lill. W. Mill. & Gandhi","slender threeseed mercury"
"ACNE2","Acer negundo L.","BOXELDER"
"ACOP","Acmella oppositifolia (Lam.) R.K. Jansen","oppositeleaf spotflower"
"ACORU","Acorus L.","SWEETFLAG"
"ACPA","Actaea pachypoda Elliott","white baneberry"
"ACRE3","Acroptilon repens (L.) DC.","HARDHEADS"
"ACRU","Acer rubrum L.","RED MAPLE"
"ACSA2","Acer saccharinum L.","SILVER MAPLE"
"ACSA3","Acer saccharum Marshall","SUGAR MAPLE"
"ACSC11","Achnatherum scribneri (Vasey) Barkworth","Scribner needlegrass"
"ACTAE","Actaea L.","BANEBERRY"
"ACVI","Acalypha virginica L.","Virginia threeseed mercury"
"ADCA","Adiantum capillus-veneris L.","common maidenhair"
"ADIAN","Adiantum L.","maidenhair fern"
"ADPE","Adiantum pedatum L.","northern maidenhair"
"AECY","Aegilops cylindrica Host","JOINTED GOATGRASS"
"AEGIL","Aegilops L.","goatgrass"
"AEGL","Aesculus glabra Willd.","Ohio buckeye"
"AEIN","Aeschynomene indica L.","Indian jointvetch"
"AEPA","Aesculus pavia L.","RED BUCKEYE"
"AESCH","Aeschynomene L.","jointvetch"
"AESCU","Aesculus L.","buckeye"
"AGALA","Ageratina altissima (L.) R.M. King & H. Rob. var. altissima","WHITE SNAKEROOT"
"AGALI","Agalinis Raf.","false foxglove"
"AGAS2","Agalinis aspera (Douglas ex Benth.) Britton","TALL FALSE FOXGLOVE"
"AGAST","Agastache Clayton ex Gronov.","giant hyssop"
"AGAU3","Agalinis auriculata (Michx.) S.F. Blake","earleaf false foxglove"
"AGCR","Agropyron cristatum (L.) Gaertn.","CRESTED WHEATGRASS"
"AGDE6","Agalinis densiflora (Benth.) S.F. Blake","Osage false foxglove"
"AGEL4","Agrostis elliottiana Schult.","Elliott's bentgrass"
"AGERA2","Ageratina Spach","snakeroot"
"AGEX","Agrostis exarata Trin.","SPIKE BENTGRASS"
"AGFA2","Agalinis fasciculata (Elliott) Raf.","beach false foxglove"
"AGGA","Agalinis gattingeri (Small) Small","roundstem false foxglove"
