"Symbol","Scientific Name with Author","GSAT Common Name"
"AGGI2","Agrostis gigantea Roth","red top"
"ALOPE","Alopecurus L.","foxtail"
"AMARA","Amaranthus L.","pigweed"
"AMBRO","Ambrosia L.","rag weed"
"ANGE","Andropogon gerardii Vitman","BIG BLUESTEM"
"ANVI2","Andropogon virginicus L.","broomsedge"
"BELLI","Bellis L.","daisies"
"BOCU","Bouteloua curtipendula (Michx.) Torr.","oat"
"BODA2","Bouteloua dactyloides (Nutt.) J.T. Columbus","BUFFALOGRASS"
"BODA2","Bouteloua dactyloides (Nutt.) J.T. Columbus","poverty grass/buffalo grass"
"BRCA6","Bromus catharticus Vahl","matua bromegrass"
"BRIN2","Bromus inermis Leyss.","smooth and other bromegrasses"
"BRRA","Brassica rapa L.","brassicas"
"CALO4","Carex loliacea L.","winter rye"
"CENTA","Centaurea L.","knapweed"
"CERAS","Cerastium L.","CHICKWEED"
"CICHO","Cichorium L.","CHICORY"
"CIRSI","Cirsium Mill.","thistle"
"CYANT2","Cyanthillium Blume","iron weed"
"CYES","Cyperus esculentus L.","nutsedge"
"DACTY","Dactylis L.","ORCHARDGRASS"
"DATUR","Datura L.","Jimson weed"
"DAUCU","Daucus L.","WILD CARROT"
"DICL","Dichanthelium clandestinum (L.) Gould","deer tongue"
"DIGIT2","Digitaria Haller","crabgrass"
"DOUMU","Doellingeria umbellata (Mill.) Nees var. umbellata","asters"
"ECCR","Echinochloa crus-galli (L.) P. Beauv.","BARNYARDGRASS"
"ELRE4","Elymus repens (L.) Gould","quack grass"
"EQAR","Equisetum arvense L.","horsetail"
"GEMA","Geranium maculatum L.","wild geranium"
"HIERA","Hieracium L.","hawk weed"
"HIIN3","Hirschfeldia incana (L.) Lagr.-Foss.","mustards"
"HOLCU","Holcus L.","velvetgrass"
"IPLE","Ipomoea leptophylla Torr.","bindweed/ morning glory"
"JUCA3","Juncus canadensis J. Gay ex Laharpe","rushes"
"LAMA","Lamium maculatum L.","ivy / henbit"
"LOCO6","Lotus corniculatus L.","Birdsfoot trefoil"
"LOPE","Lolium perenne L.","PERENNIAL RYEGRASS"
"LOPEM2","Lolium perenne L. ssp. multiflorum (Lam.) Husnot","annual ryegrass"
"LOPEM2","Lolium perenne L. ssp. multiflorum (Lam.) Husnot","ITALIAN RYEGRASS"
"MELIL","Melilotus Mill.","sweet clover"
"MELU","Medicago lupulina L.","BLACK MEDIC"
"MEOF","Melilotus officinalis (L.) Lam.","yellow or white sweetclover"
"MESAS","Medicago sativa L. ssp. sativa","ALFALFA"
"MUSC","Muhlenbergia schreberi J.F. Gmel.","nimblewill"
"OSCL2","Osmunda claytoniana L.","ferns"
"OXMA7","Oxalis macrocarpa (Small) R. Knuth","sorrel"
"PAVI2","Panicum virgatum L.","SWITCHGRASS"
"PHAR3","Phalaris arundinacea L.","REED CANARYGRASS"
"PHLEU","Phleum L.","TIMOTHY"
"PHYSA","Physalis L.","Ground cherry"
"PHYTO","Phytolacca L.","pokeweed"
"PLANT","Plantago L.","plantain"
"POA","Poa L.","bluegrasses"
"POPRP2","Poa pratensis L. ssp. pratensis","KENTUCKY BLUEGRASS"
"RANUN","Ranunculus L.","buttercup"
"RUMEX","Rumex L.","dock"
"SCAR7","Schedonorus arundinaceus (Schreb.) Dumort., nom. cons.","tall fescue"
"SCAR7","Schedonorus arundinaceus (Schreb.) Dumort., nom. cons.","tall fescue"
"SCAR7","Schedonorus arundinaceus (Schreb.) Dumort., nom. cons.","tall fescue"
"SCHIZ4","Schizachyrium Nees","LITTLE BLUESTEM"
"SOBID","Sorghum bicolor (L.) Moench ssp. drummondii (Nees ex Steud.) de Wet & Harlan","Sudangrass"
"SOCA3","Solanum carolinense L.","HORSENETTLE"
"SOLID","Solidago L.","goldenrod"
"SORGH","Sorghastrum Nash","Indian grass"
"SORGH2","Sorghum Moench","Sorghum"
"SPPE","Spartina pectinata Bosc ex Link","PRAIRIE CORDGRASS"
"TAOF","Taraxacum officinale F.H. Wigg.","dandelion"
"TRAM15","Trifolium ambiguum M. Bieb.","Kura clover"
"TRDA3","Tripsacum dactyloides (L.) L.","Eastern gamagrass"
"TRFL2","Tridens flavus (L.) Hitchc.","purple top"
"TRIS2","Triticum ispahanicum Heslot","winter wheat"
"TRMI17","Trifolium micranthum Viv.","hop clover"
"TRPR2","Trifolium pratense L.","RED CLOVER"
"TRRE3","Trifolium repens L.","WHITE CLOVER"
"VETH","Verbascum thapsus L.","mullen"
"ZEMA","Zea mays L.","CORN"
