"Symbol","Scientific Name with Author","GSAT Common Name"
"AEAM","Aeschynomene americana L.","Jointvetch, American"
"ALOV","Alysicarpus ovalifolius (Schumach.) J. Léonard","alyce clover"
"ANCA4","Andropogon capillipes Nash","Bluestem, chalky"
"ANGE","Andropogon gerardii Vitman","Bluestem, big"
"ANGL2","Andropogon glomeratus (Walter) Britton, Sterns & Poggenb.","Bluestem, bushey"
"ANGY2","Andropogon gyrans Ashe","Bluestem, Elliott's"
"ANTE2","Andropogon ternarius Michx.","Bluestem, splitbeard"
"ANVI2","Andropogon virginicus L.","Bluestem, broomsedge"
"ANVI4","Anthaenantia villosa (Michx.) P. Beauv.","green silkyscale"
"ARGI","Arundinaria gigantea (Walter) Muhl.","GIANT CANE"
"ARHY","Arachis hypogaea L.","Forage peanut"
"AROL","Aristida oligantha Michx.","Oldfield threeawn"
"ARPU8","Aristida purpurascens Poir.","ARROWFEATHER THREEAWN"
"ARST5","Aristida stricta Michx.","Pineland threeawn-Sweetgrass"
"AVSA","Avena sativa L.","Oat, common"
"AXFI","Axonopus fissifolius (Raddi) Kuhlm.","COMMON CARPETGRASS"
"BOBL","Bothriochloa bladhii (Retz.) S.T. Blake","Bluestem, Caucasian"
"BOCU","Bouteloua curtipendula (Michx.) Torr.","SIDEOATS GRAMA"
"BRCA6","Bromus catharticus Vahl","RESCUEGRASS"
"BRIN2","Bromus inermis Leyss.","Bromegrass, smooth"
"BRNA","Brassica napus L.","RAPE"
"BRRA","Brassica rapa L.","field mustard"
"CELO3","Cenchrus longispinus (Hack.) Fernald","mat sandbur"
"CHLA5","Chasmanthium latifolium (Michx.) Yates","Indian woodoats"
"CHSE2","Chasmanthium sessiliflorum (Poir.) Yates","Longleaf uniola"
"CIIN","Cichorium intybus L.","CHICORY"
"COCY","Coelorachis cylindrica (Michx.) Nash","Carolina jointtail grass"
"CTAR","Ctenium aromaticum (Walter) Alph. Wood","Toothachegrass"
"CYDA","Cynodon dactylon (L.) Pers.","Bermudagrass"
"DAGL","Dactylis glomerata L.","ORCHARDGRASS"
"DANTH","Danthonia DC."," poverty oatgrass"
"DIOLS","Dichanthelium oligosanthes (Schult.) Gould var. scribnerianum (Nash) Gould","Scribner  panicum"
"DISA","Digitaria sanguinalis (L.) Scop.","Crabgrass, hairy"
"DISP","Distichlis spicata (L.) Greene","SEASHORE SALTGRASS"
"ECCR","Echinochloa crus-galli (L.) P. Beauv.","BARNYARDGRASS"
"ECES","Echinochloa esculenta (A. Braun) H. Scholz","Japanese millet"
"ELCA4","Elymus canadensis L.","Wildrye, Canada"
"ELVI3","Elymus virginicus L.","VIRGINIA WILDRYE"
"ERSP","Eragrostis spectabilis (Pursh) Steud.","PURPLE LOVEGRASS"
