"Symbol","Scientific Name with Author","GSAT Common Name"
"ABAM2","Abronia ameliae Lundell","AMELIA SANDVERBENA"
"ABAN","Abronia angustifolia Greene","PURPLE SANDVERBENA"
"ABFR2","Abronia fragrans Nutt. ex Hook.","SWEET SANDVERBENA"
"ABIN","Abutilon incanum (Link) Sweet","Indian mallow"
"ABMA5","Abronia macrocarpa L.A. Galloway","LARGEFRUITED SANDVERBENA"
"ABTH","Abutilon theophrasti Medik.","VELVETLEAF"
"ACANC3","Acaciella angustissima (Mill.) Britton & Rose var. chisosiana (Isely) B.L. Turner","CHISOS ACACIA"
"ACANH2","Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner","prairie acacia"
"ACGR2","Acalypha gracilens A. Gray","SLENDER COPPERLEAF"
"ACGRG","Acer grandidentatum Nutt. var. grandidentatum","UVALDE BIGTOOTH MAPLE"
"ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","INDIAN RICEGRASS"
"ACLE","Acer leucoderme Small","CHALK MAPLE"
"ACLO2","Acleisanthes longiflora A. Gray","ANGELTRUMPET"
"ACMI2","Achillea millefolium L.","WESTERN YARROW"
"ACNE2","Acer negundo L.","BOXELDER"
"ACOPR","Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen","CREEPING SPOTFLOWER"
"ACOS","Acalypha ostryifolia Riddell","HOPHORNBEAM COPPERLEAF"
"ACPA","Actaea pachypoda Elliott","BANEBERRY"
"ACRU","Acer rubrum L.","RED MAPLE"
"ACRUD","Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.","DRUMMOND MAPLE"
"ACSA2","Acer saccharinum L.","SILVER MAPLE"
"ACSA3","Acer saccharum Marshall","SUGAR MAPLE"
"ACVI","Acalypha virginica L.","VIRGINIA COPPERLEAF"
"ADCA","Adiantum capillus-veneris L.","VENUS HAIRFERN"
"ADPE","Adiantum pedatum L.","maidenhair fern"
"ADTR","Adiantum tricholepis Fée","HAIRY MAIDENHAIR FERN"
"AECY","Aegilops cylindrica Host","JOINTED GOATGRASS"
"AEGL","Aesculus glabra Willd.","TEXAS BUCKEYE"
"AEIN","Aeschynomene indica L.","jointvetch"
"AEPA","Aesculus pavia L.","RED BUCKEYE"
"AGAM","Agave americana L.","CENTURYPLANT"
"AGAS2","Agalinis aspera (Douglas ex Benth.) Britton","ROUGH FOXGLOVE"
"AGCR","Agropyron cristatum (L.) Gaertn.","CRESTED WHEATGRASS"
"AGEL4","Agrostis elliottiana Schult.","ELLIOTT BENTGRASS"
"AGEX","Agrostis exarata Trin.","SPIKE BENTGRASS"
"AGHE4","Agalinis heterophylla (Nutt.) Small ex Britton","PRAIRIE FALSE-FOXGLOVE"
"AGHY","Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.","winter bentgrass"
"AGLE","Agave lechuguilla Torr.","LECHEGUILLA"
"AGMA3","Agalinis maritima (Raf.) Raf.","SEASIDE GERARDIA"
"AGNE2","Agastache nepetoides (L.) Kuntze","YELLOW GIANTHYSSOP"
"AGPA6","Agrimonia parviflora Aiton","MANYFLOWERED GROOVEBUR"
"AGPAN6","Agave parryi Engelm. ssp. neomexicana (Wooton & Standl.) Ullrich","NEW MEXICO AGAVE"
"AGPAP5","Agave parryi Engelm. ssp. parryi","ROUGH AGAVE"
"AGPE","Agrostis perennans (Walter) Tuck.","AUTUMM BENTGRASS"
"AGPU","Agrimonia pubescens Wallr.","GROOVEBUR"
"AGPU4","Agalinis pulchella Pennell","PURPLE GERARDIA"
"AGRO3","Agrimonia rostellata Wallr.","WOODLAND GROOVEBUR"
"AGST2","Agrostis stolonifera L.","creeping bentgrass"
"AIAL","Ailanthus altissima (Mill.) Swingle","tree-of-heaven"
"ALAE","Alopecurus aequalis Sobol.","SHORTAWN FOXTAIL"
"ALCA3","Allium canadense L.","CANADA GARLIC"
"ALDR","Allium drummondii Regel","DRUMMOND ONION"
"ALGR2","Aloysia gratissima (Gillies & Hook.) Troncoso","whitebrush"
