"Symbol","Scientific Name with Author","GSAT Common Name"
"ABAM","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","Pacific silver fir"
"ABGR","Abies grandis (Douglas ex D. Don) Lindl.","grand fir"
"ABIES","Abies Mill.","fir"
"ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir"
"ABLA2","Abronia latifolia Eschsch.","coastal sand verbena"
"ABME","Abronia mellifera Douglas ex Hook.","white sand verbena"
"ABPR","Abies procera Rehder","noble fir"
"ABRON","Abronia Juss.","sandverbena"
"ABTH","Abutilon theophrasti Medik.","VELVETLEAF"
"ABUM","Abronia umbellata Lam.","pink sand verbena"
"ABUTI","Abutilon Mill.","Indian mallow"
"ACAM","Acorus americanus (Raf.) Raf.","SWEETFLAG"
"ACAR2","Acinos arvensis (Lam.) Dandy","basil thyme"
"ACCA4","Acorus calamus L.","calamus"
"ACCA6","Achlys californica I. Fukuda & H.G. Baker","deer's foot"
"ACCI","Acer circinatum Pursh","vine maple"
"ACCO4","Aconitum columbianum Nutt.","Columbian monkshood"
"ACEL4","Actaea elata (Nutt.) Prantl","tall bugbane"
"ACER","Acer L.","maple"
"ACGL","Acer glabrum Torr.","Rocky Mountain maple"
"ACGR3","Acer grandidentatum Nutt.","bigtooth maple"
"ACHE10","Achnatherum hendersonii (Vasey) Barkworth","Henderson's needlegrass"
"ACHIL","Achillea L.","yarrow"
"ACHLY","Achlys DC.","achlys"
"ACHNA","Achnatherum P. Beauv.","needlegrass"
"ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","INDIAN RICEGRASS"
"ACINO","Acinos Mill.","acinos"
"ACLA12","Actaea laciniata (S. Watson) J. Compton","Mt. Hood bugbane"
"ACLE8","Achnatherum lemmonii (Vasey) Barkworth","Lemmon's needlegrass"
"ACMA3","Acer macrophyllum Pursh","bigleaf maple"
"ACMI2","Achillea millefolium L.","Common yarrow"
"ACNE2","Acer negundo L.","BOXELDER"
"ACNE9","Achnatherum nelsonii (Scribn.) Barkworth","Columbia needlegrass"
"ACOC3","Achnatherum occidentale (Thurb.) Barkworth","western needlegrass"
"ACONI","Aconitum L.","monkshood"
"ACORU","Acorus L.","SWEETFLAG"
"ACPL","Acer platanoides L.","Norway maple"
"ACPT","Achillea ptarmica L.","sneezeweed"
"ACRE3","Acroptilon repens (L.) DC.","Russian knapweed"
"ACRI8","Achnatherum richardsonii (Link) Barkworth","Richardson's needlegrass"
"ACROP","Acroptilon Cass.","HARDHEADS"
"ACRU2","Actaea rubra (Aiton) Willd.","RED BANEBERRY"
"ACTAE","Actaea L.","BANEBERRY"
"ACTH7","Achnatherum thurberianum (Piper) Barkworth","Thurber's needlegrass"
"ACTR","Achlys triphylla (Sm.) DC.","vanillaleaf"
"ADAE","Adonis aestivalis L.","summer pheasant's eye"
"ADAL","Adiantum aleuticum (Rupr.) Paris","Aleutian maidenhair"
"ADAN","Adonis annua L.","blooddrops"
"ADBI","Adenocaulon bicolor Hook.","American trailplant"
"ADENO","Adenocaulon Hook.","trailplant"
"ADIAN","Adiantum L.","maidenhair fern"
"ADONI","Adonis L.","pheasant's eye"
"AECY","Aegilops cylindrica Host","JOINTED GOATGRASS"
"AEGIL","Aegilops L.","goatgrass"
"AEGOP","Aegopodium L.","goutweed"
"AEPO","Aegopodium podagraria L.","bishop's goutweed"
"AGAE","Agrostis aequivalvis (Trin.) Trin.","arctic bentgrass"
"AGAP2","Agoseris apargioides (Less.) Greene","seaside agoseris"
"AGAST","Agastache Clayton ex Gronov.","giant hyssop"
"AGAU2","Agoseris aurantiaca (Hook.) Greene","orange agoseris"
"AGCA5","Agrostis capillaris L.","colonial bentgrass"
"AGCR","Agropyron cristatum (L.) Gaertn.","fairway crested wheatgrass"
"AGEL","Agoseris elata (Nutt.) Greene","tall agoseris"
"AGERA2","Ageratina Spach","snakeroot"
"AGEX","Agrostis exarata Trin.","SPIKE BENTGRASS"
"AGFO","Agastache foeniculum (Pursh) Kuntze","blue giant hyssop"
"AGGI","Agrostemma githago L.","common corncockle"
"AGGI2","Agrostis gigantea Roth","REDTOP"
"AGGL","Agoseris glauca (Pursh) Raf.","pale agoseris"
"AGGR","Agoseris grandiflora (Nutt.) Greene","bigflower agoseris"
"AGGR2","Agrimonia gryposepala Wallr.","tall hairy agrimony"
"AGHE2","Agoseris heterophylla (Nutt.) Greene","annual agoseris"
"AGHU","Agrostis humilis Vasey","alpine bentgrass"
"AGID","Agrostis idahoensis Nash","Idaho bentgrass"
"AGME3","Agrostis mertensii Trin.","arctic bentgrass"
"AGMI3","Agrostis microphylla Steud.","smallleaf bentgrass"
"AGOC","Agastache occidentalis (Piper) A. Heller","western giant hyssop"
"AGOC2","Ageratina occidentalis (Hook.) R.M. King & H. Rob.","western snakeroot"
"AGOR","Agrostis oregonensis Vasey","Oregon bentgrass"
"AGOSE","Agoseris Raf.","mountain dandelion"
"AGPA8","Agrostis pallens Trin.","seashore bentgrass"
"AGPE","Agrostis perennans (Walter) Tuck.","upland bentgrass"
"AGRE","Agoseris retrorsa (Benth.) Greene","spearleaf agoseris"
"AGRIM","Agrimonia L.","agrimony"
"AGROP2","Agropyron Gaertn.","wheatgrass"
"AGROS","Agrostemma L.","CORNCOCKLE"
