"Symbol","Scientific Name with Author","GSAT Common Name"
"ABAM3","Abronia ammophila Greene","Wyoming sand verbena"
"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","white fir"
"ABEL","Abronia elliptica A. Nelson","fragrant white sand verbena"
"ABFR2","Abronia fragrans Nutt. ex Hook.","snowball sand verbena"
"ABIES","Abies Mill.","fir"
"ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir"
"ABME","Abronia mellifera Douglas ex Hook.","white sand verbena"
"ABRON","Abronia Juss.","sand verbena"
"ABTH","Abutilon theophrasti Medik.","VELVETLEAF"
"ABUTI","Abutilon Mill.","Indian mallow"
"ACBL","Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale]","Bloomer's ricegrass"
"ACCO22","Achnatherum contractum (B.L. Johnson) Barkworth","contracted ricegrass"
"ACCO4","Aconitum columbianum Nutt.","Columbian monkshood"
"ACER","Acer L.","maple"
"ACGL","Acer glabrum Torr.","Rocky Mountain maple"
"ACGR3","Acer grandidentatum Nutt.","bigtooth maple"
"ACHIL","Achillea L.","yarrow"
"ACHNA","Achnatherum P. Beauv.","needlegrass"
"ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","INDIAN RICEGRASS"
"ACLE9","Achnatherum lettermanii (Vasey) Barkworth","Letterman's needlegrass"
"ACMI2","Achillea millefolium L.","common yarrow"
"ACNE10","Achnatherum nevadense (B.L. Johnson) Barkworth","Nevada needlegrass"
"ACNE2","Acer negundo L.","BOXELDER"
"ACNE9","Achnatherum nelsonii (Scribn.) Barkworth","Columbia needlegrass"
"ACOC3","Achnatherum occidentale (Thurb.) Barkworth","western needlegrass"
"ACONI","Aconitum L.","monkshood"
"ACPI2","Achnatherum pinetorum (M.E. Jones) Barkworth","pine needlegrass"
"ACRE3","Acroptilon repens (L.) DC.","hardheads"
"ACRI8","Achnatherum richardsonii (Link) Barkworth","Richardson's needlegrass"
"ACRO7","Achnatherum robustum (Vasey) Barkworth","sleepygrass"
"ACROP","Acroptilon Cass.","HARDHEADS"
"ACRU2","Actaea rubra (Aiton) Willd.","RED BANEBERRY"
"ACSC11","Achnatherum scribneri (Vasey) Barkworth","Scribner needlegrass"
"ACSW3","Achnatherum swallenii (C.L. Hitchc. & Spellenb.) Barkworth","Swallen's needlegrass"
"ACTAE","Actaea L.","BANEBERRY"
"ACTH7","Achnatherum thurberianum (Piper) Barkworth","Thurber's needlegrass"
"ADAL","Adiantum aleuticum (Rupr.) Paris","Aleutian maidenhair"
"ADBI","Adenocaulon bicolor Hook.","American trailplant"
